source,Agric,Mining,Manufacturing,Electricity and utilities,Construction,Services,Transport
i01.a,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.b,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.c,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.d,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.e,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.f,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.g,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.h,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.i,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.j,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.k,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.l,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.m,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.n,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.o,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.w.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i01.w.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i02,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i05,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i11.a,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i11.b,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i11.c,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i12,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i13.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i13.20.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i13.20.12,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i13.20.13,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i13.20.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i13.20.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i13.20.16,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i14.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i14.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i14.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
i15.a,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i15.b,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i15.c,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i15.d,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i15.e,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i15.f,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i15.g,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i15.h,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i15.i,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i15.j,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i15.k,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i16,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i20,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i20.w,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i21.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i21.w.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i21.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i22,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i23.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i23.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i23.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i24.a,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i24.a.w,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i24.b,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i24.c,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i24.d,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i26.a,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i26.a.w,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i26.b,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i26.c,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i26.d,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i26.d.w,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i26.e,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i27.a,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i27.a.w,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i27.41,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i27.41.w,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i27.42,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i27.42.w,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i27.43,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i27.43.w,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i27.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i27.44.w,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i27.45,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i27.45.w,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i27.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i28,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i29,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i30,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i31,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i32,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i33,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i34,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i35,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i36,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i37,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i37.w.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i40.11.a,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i40.11.b,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i40.11.c,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i40.11.d,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i40.11.e,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i40.11.f,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i40.11.g,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i40.11.h,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i40.11.i,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i40.11.j,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i40.11.k,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i40.11.l,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i40.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0
i40.13,0.0,0.0,0.0,1.0,0.0,0.0,0.0
