source_code,source_name,target_code,target_name,weight
i01.a,Cultivation of paddy rice,,Agric,1.0
i01.b,Cultivation of wheat,,Agric,1.0
i01.c,Cultivation of cereal grains nec,,Agric,1.0
i01.d,"Cultivation of vegetables, fruit, nuts",,Agric,1.0
i01.e,Cultivation of oil seeds,,Agric,1.0
i01.f,"Cultivation of sugar cane, sugar beet",,Agric,1.0
i01.g,Cultivation of plant-based fibers,,Agric,1.0
i01.h,Cultivation of crops nec,,Agric,1.0
i01.i,Cattle farming,,Agric,1.0
i01.j,Pigs farming,,Agric,1.0
i01.k,Poultry farming,,Agric,1.0
i01.l,Meat animals nec,,Agric,1.0
i01.m,Animal products nec,,Agric,1.0
i01.n,Raw milk,,Agric,1.0
i01.o,"Wool, silk-worm cocoons",,Agric,1.0
i01.w.1,"Manure treatment (conventional), storage and land application",,Agric,1.0
i01.w.2,"Manure treatment (biogas), storage and land application",,Agric,1.0
i02,"Forestry, logging and related service activities (02)",,Agric,1.0
i05,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",,Agric,1.0
i10,Mining of coal and lignite; extraction of peat (10),,Mining,1.0
i11.a,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",,Mining,1.0
i11.b,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",,Mining,1.0
i11.c,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",,Mining,1.0
i12,Mining of uranium and thorium ores (12),,Mining,1.0
i13.1,Mining of iron ores,,Mining,1.0
i13.20.11,Mining of copper ores and concentrates,,Mining,1.0
i13.20.12,Mining of nickel ores and concentrates,,Mining,1.0
i13.20.13,Mining of aluminium ores and concentrates,,Mining,1.0
i13.20.14,Mining of precious metal ores and concentrates,,Mining,1.0
i13.20.15,"Mining of lead, zinc and tin ores and concentrates",,Mining,1.0
i13.20.16,Mining of other non-ferrous metal ores and concentrates,,Mining,1.0
i14.1,Quarrying of stone,,Mining,1.0
i14.2,Quarrying of sand and clay,,Mining,1.0
i14.3,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",,Mining,1.0
i15.a,Processing of meat cattle,,Manufacturing,1.0
i15.b,Processing of meat pigs,,Manufacturing,1.0
i15.c,Processing of meat poultry,,Manufacturing,1.0
i15.d,Production of meat products nec,,Manufacturing,1.0
i15.e,Processing vegetable oils and fats,,Manufacturing,1.0
i15.f,Processing of dairy products,,Manufacturing,1.0
i15.g,Processed rice,,Manufacturing,1.0
i15.h,Sugar refining,,Manufacturing,1.0
i15.i,Processing of Food products nec,,Manufacturing,1.0
i15.j,Manufacture of beverages,,Manufacturing,1.0
i15.k,Manufacture of fish products,,Manufacturing,1.0
i16,Manufacture of tobacco products (16),,Manufacturing,1.0
i17,Manufacture of textiles (17),,Manufacturing,1.0
i18,Manufacture of wearing apparel; dressing and dyeing of fur (18),,Manufacturing,1.0
i19,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",,Manufacturing,1.0
i20,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",,Manufacturing,1.0
i20.w,Re-processing of secondary wood material into new wood material,,Manufacturing,1.0
i21.1,Pulp,,Manufacturing,1.0
i21.w.1,Re-processing of secondary paper into new pulp,,Manufacturing,1.0
i21.2,Paper,,Manufacturing,1.0
i22,"Publishing, printing and reproduction of recorded media (22)",,Manufacturing,1.0
i23.1,Manufacture of coke oven products,,Manufacturing,1.0
i23.2,Petroleum Refinery,,Manufacturing,1.0
i23.3,Processing of nuclear fuel,,Manufacturing,1.0
i24.a,"Plastics, basic",,Manufacturing,1.0
i24.a.w,Re-processing of secondary plastic into new plastic,,Manufacturing,1.0
i24.b,N-fertiliser,,Manufacturing,1.0
i24.c,P- and other fertiliser,,Manufacturing,1.0
i24.d,Chemicals nec,,Manufacturing,1.0
i25,Manufacture of rubber and plastic products (25),,Manufacturing,1.0
i26.a,Manufacture of glass and glass products,,Manufacturing,1.0
i26.a.w,Re-processing of secondary glass into new glass,,Manufacturing,1.0
i26.b,Manufacture of ceramic goods,,Manufacturing,1.0
i26.c,"Manufacture of bricks, tiles and construction products, in baked clay",,Manufacturing,1.0
i26.d,"Manufacture of cement, lime and plaster",,Manufacturing,1.0
i26.d.w,Re-processing of ash into clinker,,Manufacturing,1.0
i26.e,Manufacture of other non-metallic mineral products n.e.c.,,Manufacturing,1.0
i27.a,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,,Manufacturing,1.0
i27.a.w,Re-processing of secondary steel into new steel,,Manufacturing,1.0
i27.41,Precious metals production,,Manufacturing,1.0
i27.41.w,Re-processing of secondary preciuos metals into new preciuos metals,,Manufacturing,1.0
i27.42,Aluminium production,,Manufacturing,1.0
i27.42.w,Re-processing of secondary aluminium into new aluminium,,Manufacturing,1.0
i27.43,"Lead, zinc and tin production",,Manufacturing,1.0
i27.43.w,"Re-processing of secondary lead into new lead, zinc and tin",,Manufacturing,1.0
i27.44,Copper production,,Manufacturing,1.0
i27.44.w,Re-processing of secondary copper into new copper,,Manufacturing,1.0
i27.45,Other non-ferrous metal production,,Manufacturing,1.0
i27.45.w,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,,Manufacturing,1.0
i27.5,Casting of metals,,Manufacturing,1.0
i28,"Manufacture of fabricated metal products, except machinery and equipment (28)",,Manufacturing,1.0
i29,Manufacture of machinery and equipment n.e.c. (29),,Manufacturing,1.0
i30,Manufacture of office machinery and computers (30),,Manufacturing,1.0
i31,Manufacture of electrical machinery and apparatus n.e.c. (31),,Manufacturing,1.0
i32,"Manufacture of radio, television and communication equipment and apparatus (32)",,Manufacturing,1.0
i33,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",,Manufacturing,1.0
i34,"Manufacture of motor vehicles, trailers and semi-trailers (34)",,Manufacturing,1.0
i35,Manufacture of other transport equipment (35),,Manufacturing,1.0
i36,Manufacture of furniture; manufacturing n.e.c. (36),,Manufacturing,1.0
i37,Recycling of waste and scrap,,Manufacturing,1.0
i37.w.1,Recycling of bottles by direct reuse,,Manufacturing,1.0
i40.11.a,Production of electricity by coal,,Electricity and utilities,1.0
i40.11.b,Production of electricity by gas,,Electricity and utilities,1.0
i40.11.c,Production of electricity by nuclear,,Electricity and utilities,1.0
i40.11.d,Production of electricity by hydro,,Electricity and utilities,1.0
i40.11.e,Production of electricity by wind,,Electricity and utilities,1.0
i40.11.f,Production of electricity by petroleum and other oil derivatives,,Electricity and utilities,1.0
i40.11.g,Production of electricity by biomass and waste,,Electricity and utilities,1.0
i40.11.h,Production of electricity by solar photovoltaic,,Electricity and utilities,1.0
i40.11.i,Production of electricity by solar thermal,,Electricity and utilities,1.0
i40.11.j,"Production of electricity by tide, wave, ocean",,Electricity and utilities,1.0
i40.11.k,Production of electricity by Geothermal,,Electricity and utilities,1.0
i40.11.l,Production of electricity nec,,Electricity and utilities,1.0
i40.12,Transmission of electricity,,Electricity and utilities,1.0
i40.13,Distribution and trade of electricity,,Electricity and utilities,1.0
i40.2,Manufacture of gas; distribution of gaseous fuels through mains,,Electricity and utilities,1.0
i40.3,Steam and hot water supply,,Electricity and utilities,1.0
i41,"Collection, purification and distribution of water (41)",,Electricity and utilities,1.0
i45,Construction (45),,Construction,1.0
i45.w,Re-processing of secondary construction material into aggregates,,Construction,1.0
i50.a,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",,Services,1.0
i50.b,Retail sale of automotive fuel,,Services,1.0
i51,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",,Services,1.0
i52,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",,Services,1.0
i55,Hotels and restaurants (55),,Services,1.0
i60.1,Transport via railways,,Transport,1.0
i60.2,Other land transport,,Transport,1.0
i60.3,Transport via pipelines,,Transport,1.0
i61.1,Sea and coastal water transport,,Transport,1.0
i61.2,Inland water transport,,Transport,1.0
i62,Air transport (62),,Transport,1.0
i63,Supporting and auxiliary transport activities; activities of travel agencies (63),,Services,1.0
i64,Post and telecommunications (64),,Services,1.0
i65,"Financial intermediation, except insurance and pension funding (65)",,Services,1.0
i66,"Insurance and pension funding, except compulsory social security (66)",,Services,1.0
i67,Activities auxiliary to financial intermediation (67),,Services,1.0
i70,Real estate activities (70),,Services,1.0
i71,Renting of machinery and equipment without operator and of personal and household goods (71),,Services,1.0
i72,Computer and related activities (72),,Services,1.0
i73,Research and development (73),,Services,1.0
i74,Other business activities (74),,Services,1.0
i75,Public administration and defence; compulsory social security (75),,Services,1.0
i80,Education (80),,Services,1.0
i85,Health and social work (85),,Services,1.0
i90.1.a,Incineration of waste: Food,,Services,1.0
i90.1.b,Incineration of waste: Paper,,Services,1.0
i90.1.c,Incineration of waste: Plastic,,Services,1.0
i90.1.d,Incineration of waste: Metals and Inert materials,,Services,1.0
i90.1.e,Incineration of waste: Textiles,,Services,1.0
i90.1.f,Incineration of waste: Wood,,Services,1.0
i90.1.g,Incineration of waste: Oil/Hazardous waste,,Services,1.0
i90.2.a,"Biogasification of food waste, incl. land application",,Services,1.0
i90.2.b,"Biogasification of paper, incl. land application",,Services,1.0
i90.2.c,"Biogasification of sewage slugde, incl. land application",,Services,1.0
i90.3.a,"Composting of food waste, incl. land application",,Services,1.0
i90.3.b,"Composting of paper and wood, incl. land application",,Services,1.0
i90.4.a,"Waste water treatment, food",,Services,1.0
i90.4.b,"Waste water treatment, other",,Services,1.0
i90.5.a,Landfill of waste: Food,,Services,1.0
i90.5.b,Landfill of waste: Paper,,Services,1.0
i90.5.c,Landfill of waste: Plastic,,Services,1.0
i90.5.d,Landfill of waste: Inert/metal/hazardous,,Services,1.0
i90.5.e,Landfill of waste: Textiles,,Services,1.0
i90.5.f,Landfill of waste: Wood,,Services,1.0
i91,Activities of membership organisation n.e.c. (91),,Services,1.0
i92,"Recreational, cultural and sporting activities (92)",,Services,1.0
i93,Other service activities (93),,Services,1.0
i95,Private households with employed persons (95),,Services,1.0
i99,Extra-territorial organizations and bodies,,Services,1.0
