source_code,source_name,target_code,target_name,weight
i01.a,Cultivation of paddy rice,,"Agriculture, hunting and related service activities (01)",1.0
i01.b,Cultivation of wheat,,"Agriculture, hunting and related service activities (01)",1.0
i01.c,Cultivation of cereal grains nec,,"Agriculture, hunting and related service activities (01)",1.0
i01.d,"Cultivation of vegetables, fruit, nuts",,"Agriculture, hunting and related service activities (01)",1.0
i01.e,Cultivation of oil seeds,,"Agriculture, hunting and related service activities (01)",1.0
i01.f,"Cultivation of sugar cane, sugar beet",,"Agriculture, hunting and related service activities (01)",1.0
i01.g,Cultivation of plant-based fibers,,"Agriculture, hunting and related service activities (01)",1.0
i01.h,Cultivation of crops nec,,"Agriculture, hunting and related service activities (01)",1.0
i01.i,Cattle farming,,"Agriculture, hunting and related service activities (01)",1.0
i01.j,Pigs farming,,"Agriculture, hunting and related service activities (01)",1.0
i01.k,Poultry farming,,"Agriculture, hunting and related service activities (01)",1.0
i01.l,Meat animals nec,,"Agriculture, hunting and related service activities (01)",1.0
i01.m,Animal products nec,,"Agriculture, hunting and related service activities (01)",1.0
i01.n,Raw milk,,"Agriculture, hunting and related service activities (01)",1.0
i01.o,"Wool, silk-worm cocoons",,"Agriculture, hunting and related service activities (01)",1.0
i01.w.1,"Manure treatment (conventional), storage and land application",,"Agriculture, hunting and related service activities (01)",1.0
i01.w.2,"Manure treatment (biogas), storage and land application",,"Agriculture, hunting and related service activities (01)",1.0
i02,"Forestry, logging and related service activities (02)",,"Forestry, logging and related service activities (02)",1.0
i05,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.0
i10,Mining of coal and lignite; extraction of peat (10),,Mining of coal and lignite; extraction of peat (10),1.0
i11.a,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",,Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction excluding surveying (11),1.0
i11.b,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",,Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction excluding surveying (11),1.0
i11.c,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",,Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction excluding surveying (11),1.0
i12,Mining of uranium and thorium ores (12),,Mining of uranium and thorium ores (12),1.0
i13.1,Mining of iron ores,,Mining of metal ores (13),1.0
i13.20.11,Mining of copper ores and concentrates,,Mining of metal ores (13),1.0
i13.20.12,Mining of nickel ores and concentrates,,Mining of metal ores (13),1.0
i13.20.13,Mining of aluminium ores and concentrates,,Mining of metal ores (13),1.0
i13.20.14,Mining of precious metal ores and concentrates,,Mining of metal ores (13),1.0
i13.20.15,"Mining of lead, zinc and tin ores and concentrates",,Mining of metal ores (13),1.0
i13.20.16,Mining of other non-ferrous metal ores and concentrates,,Mining of metal ores (13),1.0
i14.1,Quarrying of stone,,Other mining and quarrying (14),1.0
i14.2,Quarrying of sand and clay,,Other mining and quarrying (14),1.0
i14.3,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",,Other mining and quarrying (14),1.0
i15.a,Processing of meat cattle,,Manufacture of food products and beverages (15),1.0
i15.b,Processing of meat pigs,,Manufacture of food products and beverages (15),1.0
i15.c,Processing of meat poultry,,Manufacture of food products and beverages (15),1.0
i15.d,Production of meat products nec,,Manufacture of food products and beverages (15),1.0
i15.e,Processing vegetable oils and fats,,Manufacture of food products and beverages (15),1.0
i15.f,Processing of dairy products,,Manufacture of food products and beverages (15),1.0
i15.g,Processed rice,,Manufacture of food products and beverages (15),1.0
i15.h,Sugar refining,,Manufacture of food products and beverages (15),1.0
i15.i,Processing of Food products nec,,Manufacture of food products and beverages (15),1.0
i15.j,Manufacture of beverages,,Manufacture of food products and beverages (15),1.0
i15.k,Manufacture of fish products,,Manufacture of food products and beverages (15),1.0
i16,Manufacture of tobacco products (16),,Manufacture of tobacco products (16),1.0
