source_code,source_name,target_code,target_name,weight
p01.a,Paddy rice,,Food: Plant-based,1.0
p01.b,Wheat,,Food: Plant-based,1.0
p01.c,Cereal grains nec,,Food: Plant-based,1.0
p01.d,"Vegetables, fruit, nuts",,Food: Plant-based,1.0
p01.e,Oil seeds,,Food n.e.c.,1.0
p01.f,"Sugar cane, sugar beet",,Food n.e.c.,1.0
p01.g,Plant-based fibers,,Food: Plant-based,1.0
p01.h,Crops nec,,Food: Plant-based,1.0
p01.i,Cattle,,Food: Meat and fish,1.0
p01.j,Pigs,,Food: Meat and fish,1.0
p01.k,Poultry,,Food: Meat and fish,1.0
p01.l,Meat animals nec,,Food: Meat and fish,1.0
p01.m,Animal products nec,,Food: Meat and fish,1.0
p01.n,Raw milk,,Food: Dairy and eggs,1.0
p01.o,"Wool, silk-worm cocoons",,Clothing and Footware: Textiles and wool,1.0
p01.w.1,Manure (conventional treatment),,Food n.e.c.,1.0
p01.w.2,Manure (biogas treatment),,Food n.e.c.,1.0
p02,"Products of forestry, logging and related services (02)",,Shelter: Wood products,1.0
p05,Fish and other fishing products; services incidental of fishing (05),,Food: Meat and fish,1.0
p10.a,Anthracite,,Shelter: Fuels and other shelter services,1.0
p10.b,Coking Coal,,Shelter: Fuels and other shelter services,1.0
p10.c,Other Bituminous Coal,,Shelter: Fuels and other shelter services,1.0
p10.d,Sub-Bituminous Coal,,Shelter: Fuels and other shelter services,1.0
p10.e,Patent Fuel,,Shelter: Fuels and other shelter services,1.0
p10.f,Lignite/Brown Coal,,Shelter: Fuels and other shelter services,1.0
p10.g,BKB/Peat Briquettes,,Shelter: Fuels and other shelter services,1.0
p10.h,Peat,,Shelter: Fuels and other shelter services,1.0
p11.a,"Crude petroleum and services related to crude oil extraction, excluding surveying",,Shelter: Fuels and other shelter services,1.0
p11.b,"Natural gas and services related to natural gas extraction, excluding surveying",,Shelter: Fuels and other shelter services,1.0
p11.b.1,Natural Gas Liquids,,Shelter: Fuels and other shelter services,1.0
p11.c,Other Hydrocarbons,,Shelter: Fuels and other shelter services,1.0
p12,Uranium and thorium ores (12),,Shelter: Fuels and other shelter services,1.0
p13.1,Iron ores,,Shelter: Construction Materials,1.0
p13.20.11,Copper ores and concentrates,,Shelter: Construction Materials,1.0
p13.20.12,Nickel ores and concentrates,,Shelter: Construction Materials,1.0
p13.20.13,Aluminium ores and concentrates,,Shelter: Construction Materials,1.0
p13.20.14,Precious metal ores and concentrates,,Shelter: Construction Materials,1.0
p13.20.15,"Lead, zinc and tin ores and concentrates",,Shelter: Construction Materials,1.0
p13.20.16,Other non-ferrous metal ores and concentrates,,Shelter: Construction Materials,1.0
p14.1,Stone,,Shelter: Construction Materials,1.0
p14.2,Sand and clay,,Shelter: Construction Materials,1.0
