source_code,source_name,target_code,target_name,weight
p01.a,Paddy rice,,"Agriculture, hunting, forestry & fishing",1.0
p01.b,Wheat,,"Agriculture, hunting, forestry & fishing",1.0
p01.c,Cereal grains nec,,"Agriculture, hunting, forestry & fishing",1.0
p01.d,"Vegetables, fruit, nuts",,"Agriculture, hunting, forestry & fishing",1.0
p01.e,Oil seeds,,"Agriculture, hunting, forestry & fishing",1.0
p01.f,"Sugar cane, sugar beet",,"Agriculture, hunting, forestry & fishing",1.0
p01.g,Plant-based fibers,,"Agriculture, hunting, forestry & fishing",1.0
p01.h,Crops nec,,"Agriculture, hunting, forestry & fishing",1.0
p01.i,Cattle,,"Agriculture, hunting, forestry & fishing",1.0
p01.j,Pigs,,"Agriculture, hunting, forestry & fishing",1.0
p01.k,Poultry,,"Agriculture, hunting, forestry & fishing",1.0
p01.l,Meat animals nec,,"Agriculture, hunting, forestry & fishing",1.0
p01.m,Animal products nec,,"Agriculture, hunting, forestry & fishing",1.0
p01.n,Raw milk,,"Agriculture, hunting, forestry & fishing",1.0
p01.o,"Wool, silk-worm cocoons",,"Agriculture, hunting, forestry & fishing",1.0
p01.w.1,Manure (conventional treatment),,"Agriculture, hunting, forestry & fishing",1.0
p01.w.2,Manure (biogas treatment),,"Agriculture, hunting, forestry & fishing",1.0
p02,"Products of forestry, logging and related services (02)",,"Agriculture, hunting, forestry & fishing",1.0
p05,Fish and other fishing products; services incidental of fishing (05),,"Agriculture, hunting, forestry & fishing",1.0
p10.a,Anthracite,,Mining & quarrying,1.0
p10.b,Coking Coal,,Mining & quarrying,1.0
p10.c,Other Bituminous Coal,,Mining & quarrying,1.0
p10.d,Sub-Bituminous Coal,,Mining & quarrying,1.0
p10.e,Patent Fuel,,Mining & quarrying,1.0
p10.f,Lignite/Brown Coal,,Mining & quarrying,1.0
p10.g,BKB/Peat Briquettes,,Mining & quarrying,1.0
p10.h,Peat,,Mining & quarrying,1.0
p11.a,"Crude petroleum and services related to crude oil extraction, excluding surveying",,Mining & quarrying,1.0
p11.b,"Natural gas and services related to natural gas extraction, excluding surveying",,Mining & quarrying,1.0
