source_code,source_name,target_code,target_name,weight
p01.a,Paddy rice,,"Products of agriculture, hunting and related services (01)",1.0
p01.b,Wheat,,"Products of agriculture, hunting and related services (01)",1.0
p01.c,Cereal grains nec,,"Products of agriculture, hunting and related services (01)",1.0
p01.d,"Vegetables, fruit, nuts",,"Products of agriculture, hunting and related services (01)",1.0
p01.e,Oil seeds,,"Products of agriculture, hunting and related services (01)",1.0
p01.f,"Sugar cane, sugar beet",,"Products of agriculture, hunting and related services (01)",1.0
p01.g,Plant-based fibers,,"Products of agriculture, hunting and related services (01)",1.0
p01.h,Crops nec,,"Products of agriculture, hunting and related services (01)",1.0
p01.i,Cattle,,"Products of agriculture, hunting and related services (01)",1.0
p01.j,Pigs,,"Products of agriculture, hunting and related services (01)",1.0
p01.k,Poultry,,"Products of agriculture, hunting and related services (01)",1.0
p01.l,Meat animals nec,,"Products of agriculture, hunting and related services (01)",1.0
p01.m,Animal products nec,,"Products of agriculture, hunting and related services (01)",1.0
p01.n,Raw milk,,"Products of agriculture, hunting and related services (01)",1.0
p01.o,"Wool, silk-worm cocoons",,"Products of agriculture, hunting and related services (01)",1.0
p01.w.1,Manure (conventional treatment),,"Products of agriculture, hunting and related services (01)",1.0
p01.w.2,Manure (biogas treatment),,"Products of agriculture, hunting and related services (01)",1.0
p02,"Products of forestry, logging and related services (02)",,"Products of forestry, logging and related services (02)",1.0
p05,Fish and other fishing products; services incidental of fishing (05),,Fish and other fishing products; services incidental of fishing (05),1.0
p10.a,Anthracite,,Coal and lignite; peat (10),1.0
p10.b,Coking Coal,,Coal and lignite; peat (10),1.0
p10.c,Other Bituminous Coal,,Coal and lignite; peat (10),1.0
p10.d,Sub-Bituminous Coal,,Coal and lignite; peat (10),1.0
p10.e,Patent Fuel,,Coal and lignite; peat (10),1.0
p10.f,Lignite/Brown Coal,,Coal and lignite; peat (10),1.0
p10.g,BKB/Peat Briquettes,,Coal and lignite; peat (10),1.0
p10.h,Peat,,Coal and lignite; peat (10),1.0
p11.a,"Crude petroleum and services related to crude oil extraction, excluding surveying",,Crude petroleum and natural gas; services incidental to oil and gas extraction excluding surveying (11),1.0
p11.b,"Natural gas and services related to natural gas extraction, excluding surveying",,Crude petroleum and natural gas; services incidental to oil and gas extraction excluding surveying (11),1.0
p11.b.1,Natural Gas Liquids,,Crude petroleum and natural gas; services incidental to oil and gas extraction excluding surveying (11),1.0
p11.c,Other Hydrocarbons,,Crude petroleum and natural gas; services incidental to oil and gas extraction excluding surveying (11),1.0
p12,Uranium and thorium ores (12),,Uranium and thorium ores (12),1.0
p13.1,Iron ores,,Metal ores (13),1.0
p13.20.11,Copper ores and concentrates,,Metal ores (13),1.0
p13.20.12,Nickel ores and concentrates,,Metal ores (13),1.0
p13.20.13,Aluminium ores and concentrates,,Metal ores (13),1.0
p13.20.14,Precious metal ores and concentrates,,Metal ores (13),1.0
p13.20.15,"Lead, zinc and tin ores and concentrates",,Metal ores (13),1.0
p13.20.16,Other non-ferrous metal ores and concentrates,,Metal ores (13),1.0
p14.1,Stone,,Other mining and quarrying products (14),1.0
p14.2,Sand and clay,,Other mining and quarrying products (14),1.0
p14.3,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",,Other mining and quarrying products (14),1.0
p15.a,Products of meat cattle,,Food products and beverages (15),1.0
p15.b,Products of meat pigs,,Food products and beverages (15),1.0
p15.c,Products of meat poultry,,Food products and beverages (15),1.0
p15.d,Meat products nec,,Food products and beverages (15),1.0
p15.e,products of Vegetable oils and fats,,Food products and beverages (15),1.0
p15.f,Dairy products,,Food products and beverages (15),1.0
p15.g,Processed rice,,Food products and beverages (15),1.0
p15.h,Sugar,,Food products and beverages (15),1.0
p15.i,Food products nec,,Food products and beverages (15),1.0
p15.j,Beverages,,Food products and beverages (15),1.0
p15.k,Fish products,,Food products and beverages (15),1.0
p16,Tobacco products (16),,Tobacco products (16),1.0
p17,Textiles (17),,Textiles (17),1.0
p18,Wearing apparel; furs (18),,Wearing apparel; furs (18),1.0
p19,Leather and leather products (19),,Leather and leather products (19),1.0
p20,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),1.0
p20.w,"Wood material for treatment, Re-processing of secondary wood material into new wood material",,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),1.0
p21.1,Pulp,,"Pulp, paper and paper products (21)",1.0
p21.w.1,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",,"Pulp, paper and paper products (21)",1.0
p21.2,Paper and paper products,,"Pulp, paper and paper products (21)",1.0
p22,Printed matter and recorded media (22),,Printed matter and recorded media (22),1.0
p23.1.a,Coke Oven Coke,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.1.b,Gas Coke,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.1.c,Coal Tar,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.a,Motor Gasoline,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.b,Aviation Gasoline,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.c,Gasoline Type Jet Fuel,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.d,Kerosene Type Jet Fuel,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.e,Kerosene,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.f,Gas/Diesel Oil,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.g,Heavy Fuel Oil,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.h,Refinery Gas,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.i,Liquefied Petroleum Gases (LPG),,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.j,Refinery Feedstocks,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.k,Ethane,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.l,Naphtha,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.m,White Spirit & SBP,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.n,Lubricants,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.o,Bitumen,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.p,Paraffin Waxes,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.q,Petroleum Coke,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.20.r,Non-specified Petroleum Products,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p23.3,Nuclear fuel,,"Coke, refined petroleum products and nuclear fuels (23)",1.0
p24.a,"Plastics, basic",,"Chemicals, chemical products and man-made fibres (24)",1.0
p24.a.w,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",,"Chemicals, chemical products and man-made fibres (24)",1.0
p24.b,N-fertiliser,,"Chemicals, chemical products and man-made fibres (24)",1.0
p24.c,P- and other fertiliser,,"Chemicals, chemical products and man-made fibres (24)",1.0
p24.d,Chemicals nec,,"Chemicals, chemical products and man-made fibres (24)",1.0
p24.e,Charcoal,,"Chemicals, chemical products and man-made fibres (24)",1.0
p24.f,Additives/Blending Components,,"Chemicals, chemical products and man-made fibres (24)",1.0
p24.g,Biogasoline,,"Chemicals, chemical products and man-made fibres (24)",1.0
p24.h,Biodiesels,,"Chemicals, chemical products and man-made fibres (24)",1.0
p24.i,Other Liquid Biofuels,,"Chemicals, chemical products and man-made fibres (24)",1.0
p25,Rubber and plastic products (25),,Rubber and plastic products (25),1.0
p26.a,Glass and glass products,,Other non-metallic mineral products (26),1.0
p26.a.w,"Secondary glass for treatment, Re-processing of secondary glass into new glass",,Other non-metallic mineral products (26),1.0
p26.b,Ceramic goods,,Other non-metallic mineral products (26),1.0
p26.c,"Bricks, tiles and construction products, in baked clay",,Other non-metallic mineral products (26),1.0
p26.d,"Cement, lime and plaster",,Other non-metallic mineral products (26),1.0
p26.d.w,"Ash for treatment, Re-processing of ash into clinker",,Other non-metallic mineral products (26),1.0
p26.e,Other non-metallic mineral products,,Other non-metallic mineral products (26),1.0
p27.a,Basic iron and steel and of ferro-alloys and first products thereof,,Basic metals (27),1.0
p27.a.w,"Secondary steel for treatment, Re-processing of secondary steel into new steel",,Basic metals (27),1.0
p27.41,Precious metals,,Basic metals (27),1.0
p27.41.w,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",,Basic metals (27),1.0
p27.42,Aluminium and aluminium products,,Basic metals (27),1.0
p27.42.w,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",,Basic metals (27),1.0
p27.43,"Lead, zinc and tin and products thereof",,Basic metals (27),1.0
p27.43.w,"Secondary lead for treatment, Re-processing of secondary lead into new lead",,Basic metals (27),1.0
p27.44,Copper products,,Basic metals (27),1.0
p27.44.w,"Secondary copper for treatment, Re-processing of secondary copper into new copper",,Basic metals (27),1.0
p27.45,Other non-ferrous metal products,,"Fabricated metal products, except machinery and equipment (28)",1.0
p27.45.w,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",,"Fabricated metal products, except machinery and equipment (28)",1.0
p27.5,Foundry work services,,"Fabricated metal products, except machinery and equipment (28)",1.0
p28,"Fabricated metal products, except machinery and equipment (28)",,"Fabricated metal products, except machinery and equipment (28)",1.0
p29,Machinery and equipment n.e.c. (29),,Machinery and equipment n.e.c. (29),1.0
p30,Office machinery and computers (30),,Office machinery and computers (30),1.0
p31,Electrical machinery and apparatus n.e.c. (31),,Electrical machinery and apparatus n.e.c. (31),1.0
p32,"Radio, television and communication equipment and apparatus (32)",,"Radio, television and communication equipment and apparatus (32)",1.0
p33,"Medical, precision and optical instruments, watches and clocks (33)",,"Medical, precision and optical instruments, watches and clocks (33)",1.0
p34,"Motor vehicles, trailers and semi-trailers (34)",,"Motor vehicles, trailers and semi-trailers (34)",1.0
p35,Other transport equipment (35),,Other transport equipment (35),1.0
p36,Furniture; other manufactured goods n.e.c. (36),,Furniture; other manufactured goods n.e.c. (36),1.0
p37,Secondary raw materials,,Secondary raw materials (37),1.0
p37.w.1,"Bottles for treatment, Recycling of bottles by direct reuse",,Secondary raw materials (37),1.0
p40.11.a,Electricity by coal,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.11.b,Electricity by gas,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.11.c,Electricity by nuclear,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.11.d,Electricity by hydro,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.11.e,Electricity by wind,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.11.f,Electricity by petroleum and other oil derivatives,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.11.g,Electricity by biomass and waste,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.11.h,Electricity by solar photovoltaic,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.11.i,Electricity by solar thermal,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.11.j,"Electricity by tide, wave, ocean",,"Electrical energy, gas, steam and hot water (40)",1.0
p40.11.k,Electricity by Geothermal,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.11.l,Electricity nec,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.12,Transmission services of electricity,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.13,Distribution and trade services of electricity,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.2.a,Coke oven gas,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.2.b,Blast Furnace Gas,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.2.c,Oxygen Steel Furnace Gas,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.2.d,Gas Works Gas,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.2.e,Biogas,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.2.1,Distribution services of gaseous fuels through mains,,"Electrical energy, gas, steam and hot water (40)",1.0
p40.3,Steam and hot water supply services,,"Electrical energy, gas, steam and hot water (40)",1.0
p41,"Collected and purified water, distribution services of water (41)",,"Collected and purified water, distribution services of water (41)",1.0
p45,Construction work (45),,Construction work (45),1.0
p45.w,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",,"Trade, maintenance and repair services of motor vehicles and motorcycles; retail sale of automotive fuel (50)",1.0
p50.a,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",,"Trade, maintenance and repair services of motor vehicles and motorcycles; retail sale of automotive fuel (50)",1.0
p50.b,Retail trade services of motor fuel,,"Trade, maintenance and repair services of motor vehicles and motorcycles; retail sale of automotive fuel (50)",1.0
p51,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",1.0
p52,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",1.0
p55,Hotel and restaurant services (55),,Hotel and restaurant services (55),1.0
p60.1,Railway transportation services,,Land transport; transport via pipeline services (60),1.0
p60.2,Other land transportation services,,Land transport; transport via pipeline services (60),1.0
p60.3,Transportation services via pipelines,,Land transport; transport via pipeline services (60),1.0
p61.1,Sea and coastal water transportation services,,Water transport services (61),1.0
p61.2,Inland water transportation services,,Water transport services (61),1.0
p62,Air transport services (62),,Air transport services (62),1.0
p63,Supporting and auxiliary transport services; travel agency services (63),,Supporting and auxiliary transport services; travel agency services (63),1.0
p64,Post and telecommunication services (64),,Post and telecommunication services (64),1.0
p65,"Financial intermediation services, except insurance and pension funding services (65)",,"Financial intermediation services, except insurance and pension funding services (65)",1.0
p66,"Insurance and pension funding services, except compulsory social security services (66)",,"Insurance and pension funding services, except compulsory social security services (66)",1.0
p67,Services auxiliary to financial intermediation (67),,Services auxiliary to financial intermediation (67),1.0
p70,Real estate services (70),,Real estate services (70),1.0
p71,Renting services of machinery and equipment without operator and of personal and household goods (71),,Renting services of machinery and equipment without operator and of personal and household goods (71),1.0
p72,Computer and related services (72),,Computer and related services (72),1.0
p73,Research and development services (73),,Research and development services (73),1.0
p74,Other business services (74),,Other business services (74),1.0
p75,Public administration and defence services; compulsory social security services (75),,Public administration and defence services; compulsory social security services (75),1.0
p80,Education services (80),,Education services (80),1.0
p85,Health and social work services (85),,Health and social work services (85),1.0
p90.1.a,Food waste for treatment: incineration,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.1.b,Paper waste for treatment: incineration,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.1.c,Plastic waste for treatment: incineration,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.1.d,Intert/metal waste for treatment: incineration,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.1.e,Textiles waste for treatment: incineration,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.1.f,Wood waste for treatment: incineration,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.1.g,Oil/hazardous waste for treatment: incineration,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.2.a,Food waste for treatment: biogasification and land application,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.2.b,Paper waste for treatment: biogasification and land application,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.2.c,Sewage sludge for treatment: biogasification and land application,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.3.a,Food waste for treatment: composting and land application,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
p90.3.b,Paper and wood waste for treatment: composting and land application,,"Sewage and refuse disposal services, sanitation and similar services (90)",1.0
