source_code,source_name,target_code,target_name,weight
p01.a,Paddy rice,i01.a,Cultivation of paddy rice,1.0
p01.b,Wheat,i01.b,Cultivation of wheat,1.0
p01.c,Cereal grains nec,i01.c,Cultivation of cereal grains nec,1.0
p01.d,"Vegetables, fruit, nuts",i01.d,"Cultivation of vegetables, fruit, nuts",1.0
p01.e,Oil seeds,i01.e,Cultivation of oil seeds,1.0
p01.f,"Sugar cane, sugar beet",i01.f,"Cultivation of sugar cane, sugar beet",1.0
p01.g,Plant-based fibers,i01.g,Cultivation of plant-based fibers,1.0
p01.h,Crops nec,i01.h,Cultivation of crops nec,1.0
p01.i,Cattle,i01.i,Cattle farming,1.0
p01.j,Pigs,i01.j,Pigs farming,1.0
p01.k,Poultry,i01.k,Poultry farming,1.0
p01.l,Meat animals nec,i01.l,Meat animals nec,1.0
p01.m,Animal products nec,i01.m,Animal products nec,1.0
p01.n,Raw milk,i01.n,Raw milk,1.0
p01.o,"Wool, silk-worm cocoons",i01.o,"Wool, silk-worm cocoons",1.0
p01.w.1,Manure (conventional treatment),i01.w.1,"Manure treatment (conventional), storage and land application",1.0
p01.w.2,Manure (biogas treatment),i01.w.2,"Manure treatment (biogas), storage and land application",1.0
p02,"Products of forestry, logging and related services (02)",i02,"Forestry, logging and related service activities (02)",1.0
p05,Fish and other fishing products; services incidental of fishing (05),i05,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.0
p10.a,Anthracite,i10,Mining of coal and lignite; extraction of peat (10),1.0
p10.b,Coking Coal,i10,Mining of coal and lignite; extraction of peat (10),1.0
p10.c,Other Bituminous Coal,i10,Mining of coal and lignite; extraction of peat (10),1.0
p10.d,Sub-Bituminous Coal,i10,Mining of coal and lignite; extraction of peat (10),1.0
p10.e,Patent Fuel,i10,Mining of coal and lignite; extraction of peat (10),1.0
p10.f,Lignite/Brown Coal,i10,Mining of coal and lignite; extraction of peat (10),1.0
p10.g,BKB/Peat Briquettes,i10,Mining of coal and lignite; extraction of peat (10),1.0
p10.h,Peat,i10,Mining of coal and lignite; extraction of peat (10),1.0
p11.a,"Crude petroleum and services related to crude oil extraction, excluding surveying",i11.a,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1.0
p11.b,"Natural gas and services related to natural gas extraction, excluding surveying",i11.b,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.0
p11.b.1,Natural Gas Liquids,i11.b,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.0
p11.c,Other Hydrocarbons,i11.c,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",1.0
p12,Uranium and thorium ores (12),i12,Mining of uranium and thorium ores (12),1.0
p13.1,Iron ores,i13.1,Mining of iron ores,1.0
p13.20.11,Copper ores and concentrates,i13.20.11,Mining of copper ores and concentrates,1.0
p13.20.12,Nickel ores and concentrates,i13.20.12,Mining of nickel ores and concentrates,1.0
p13.20.13,Aluminium ores and concentrates,i13.20.13,Mining of aluminium ores and concentrates,1.0
p13.20.14,Precious metal ores and concentrates,i13.20.14,Mining of precious metal ores and concentrates,1.0
p13.20.15,"Lead, zinc and tin ores and concentrates",i13.20.15,"Mining of lead, zinc and tin ores and concentrates",1.0
p13.20.16,Other non-ferrous metal ores and concentrates,i13.20.16,Mining of other non-ferrous metal ores and concentrates,1.0
p14.1,Stone,i14.1,Quarrying of stone,1.0
p14.2,Sand and clay,i14.2,Quarrying of sand and clay,1.0
p14.3,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",i14.3,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",1.0
p15.a,Products of meat cattle,i15.a,Processing of meat cattle,1.0
p15.b,Products of meat pigs,i15.b,Processing of meat pigs,1.0
p15.c,Products of meat poultry,i15.c,Processing of meat poultry,1.0
p15.d,Meat products nec,i15.d,Production of meat products nec,1.0
p15.e,products of Vegetable oils and fats,i15.e,Processing vegetable oils and fats,1.0
p15.f,Dairy products,i15.f,Processing of dairy products,1.0
p15.g,Processed rice,i15.g,Processed rice,1.0
p15.h,Sugar,i15.h,Sugar refining,1.0
p15.i,Food products nec,i15.i,Processing of Food products nec,1.0
p15.j,Beverages,i15.j,Manufacture of beverages,1.0
p15.k,Fish products,i15.k,Manufacture of fish products,1.0
p16,Tobacco products (16),i16,Manufacture of tobacco products (16),1.0
p17,Textiles (17),i17,Manufacture of textiles (17),1.0
p18,Wearing apparel; furs (18),i18,Manufacture of wearing apparel; dressing and dyeing of fur (18),1.0
p19,Leather and leather products (19),i19,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",1.0
p20,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),i20,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",1.0
p20.w,"Wood material for treatment, Re-processing of secondary wood material into new wood material",i20.w,Re-processing of secondary wood material into new wood material,1.0
p21.1,Pulp,i21.1,Pulp,1.0
p21.w.1,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",i21.w.1,Re-processing of secondary paper into new pulp,1.0
p21.2,Paper and paper products,i21.2,Paper,1.0
p22,Printed matter and recorded media (22),i22,"Publishing, printing and reproduction of recorded media (22)",1.0
p23.1.a,Coke Oven Coke,i23.1,Manufacture of coke oven products,1.0
p23.1.b,Gas Coke,i23.2,Petroleum Refinery,1.0
p23.1.c,Coal Tar,i23.2,Petroleum Refinery,1.0
p23.20.a,Motor Gasoline,i23.2,Petroleum Refinery,1.0
p23.20.b,Aviation Gasoline,i23.2,Petroleum Refinery,1.0
p23.20.c,Gasoline Type Jet Fuel,i23.2,Petroleum Refinery,1.0
p23.20.d,Kerosene Type Jet Fuel,i23.2,Petroleum Refinery,1.0
p23.20.e,Kerosene,i23.2,Petroleum Refinery,1.0
p23.20.f,Gas/Diesel Oil,i23.2,Petroleum Refinery,1.0
p23.20.g,Heavy Fuel Oil,i23.2,Petroleum Refinery,1.0
p23.20.h,Refinery Gas,i23.2,Petroleum Refinery,1.0
p23.20.i,Liquefied Petroleum Gases (LPG),i23.2,Petroleum Refinery,1.0
p23.20.j,Refinery Feedstocks,i23.2,Petroleum Refinery,1.0
p23.20.k,Ethane,i23.2,Petroleum Refinery,1.0
p23.20.l,Naphtha,i23.2,Petroleum Refinery,1.0
p23.20.m,White Spirit & SBP,i23.2,Petroleum Refinery,1.0
p23.20.n,Lubricants,i23.2,Petroleum Refinery,1.0
p23.20.o,Bitumen,i23.2,Petroleum Refinery,1.0
p23.20.p,Paraffin Waxes,i23.2,Petroleum Refinery,1.0
p23.20.q,Petroleum Coke,i23.2,Petroleum Refinery,1.0
p23.20.r,Non-specified Petroleum Products,i23.2,Petroleum Refinery,1.0
p23.3,Nuclear fuel,i23.3,Processing of nuclear fuel,1.0
p24.a,"Plastics, basic",i24.a,"Plastics, basic",1.0
p24.a.w,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",i24.a.w,Re-processing of secondary plastic into new plastic,1.0
p24.b,N-fertiliser,i24.b,N-fertiliser,1.0
p24.c,P- and other fertiliser,i24.c,P- and other fertiliser,1.0
p24.d,Chemicals nec,i24.d,Chemicals nec,1.0
p24.e,Charcoal,i24.d,Chemicals nec,1.0
p24.f,Additives/Blending Components,i24.d,Chemicals nec,1.0
p24.g,Biogasoline,i24.d,Chemicals nec,1.0
p24.h,Biodiesels,i24.d,Chemicals nec,1.0
p24.i,Other Liquid Biofuels,i24.d,Chemicals nec,1.0
p25,Rubber and plastic products (25),i25,Manufacture of rubber and plastic products (25),1.0
p26.a,Glass and glass products,i26.a,Manufacture of glass and glass products,1.0
p26.a.w,"Secondary glass for treatment, Re-processing of secondary glass into new glass",i26.a.w,Re-processing of secondary glass into new glass,1.0
p26.b,Ceramic goods,i26.b,Manufacture of ceramic goods,1.0
p26.c,"Bricks, tiles and construction products, in baked clay",i26.c,"Manufacture of bricks, tiles and construction products, in baked clay",1.0
p26.d,"Cement, lime and plaster",i26.d,"Manufacture of cement, lime and plaster",1.0
p26.d.w,"Ash for treatment, Re-processing of ash into clinker",i26.d.w,Re-processing of ash into clinker,1.0
p26.e,Other non-metallic mineral products,i26.e,Manufacture of other non-metallic mineral products n.e.c.,1.0
p27.a,Basic iron and steel and of ferro-alloys and first products thereof,i27.a,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1.0
p27.a.w,"Secondary steel for treatment, Re-processing of secondary steel into new steel",i27.a.w,Re-processing of secondary steel into new steel,1.0
p27.41,Precious metals,i27.41,Precious metals production,1.0
p27.41.w,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",i27.41.w,Re-processing of secondary preciuos metals into new preciuos metals,1.0
p27.42,Aluminium and aluminium products,i27.42,Aluminium production,1.0
p27.42.w,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",i27.42.w,Re-processing of secondary aluminium into new aluminium,1.0
p27.43,"Lead, zinc and tin and products thereof",i27.43,"Lead, zinc and tin production",1.0
p27.43.w,"Secondary lead for treatment, Re-processing of secondary lead into new lead",i27.43.w,"Re-processing of secondary lead into new lead, zinc and tin",1.0
p27.44,Copper products,i27.44,Copper production,1.0
p27.44.w,"Secondary copper for treatment, Re-processing of secondary copper into new copper",i27.44.w,Re-processing of secondary copper into new copper,1.0
p27.45,Other non-ferrous metal products,i27.45,Other non-ferrous metal production,1.0
p27.45.w,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",i27.45.w,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,1.0
p27.5,Foundry work services,i27.5,Casting of metals,1.0
p28,"Fabricated metal products, except machinery and equipment (28)",i28,"Manufacture of fabricated metal products, except machinery and equipment (28)",1.0
p29,Machinery and equipment n.e.c. (29),i29,Manufacture of machinery and equipment n.e.c. (29),1.0
p30,Office machinery and computers (30),i30,Manufacture of office machinery and computers (30),1.0
p31,Electrical machinery and apparatus n.e.c. (31),i31,Manufacture of electrical machinery and apparatus n.e.c. (31),1.0
p32,"Radio, television and communication equipment and apparatus (32)",i32,"Manufacture of radio, television and communication equipment and apparatus (32)",1.0
p33,"Medical, precision and optical instruments, watches and clocks (33)",i33,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",1.0
p34,"Motor vehicles, trailers and semi-trailers (34)",i34,"Manufacture of motor vehicles, trailers and semi-trailers (34)",1.0
p35,Other transport equipment (35),i35,Manufacture of other transport equipment (35),1.0
p36,Furniture; other manufactured goods n.e.c. (36),i36,Manufacture of furniture; manufacturing n.e.c. (36),1.0
p37,Secondary raw materials,i37,Recycling of waste and scrap,1.0
p37.w.1,"Bottles for treatment, Recycling of bottles by direct reuse",i37.w.1,Recycling of bottles by direct reuse,1.0
p40.11.a,Electricity by coal,i40.11.a,Production of electricity by coal,1.0
p40.11.b,Electricity by gas,i40.11.b,Production of electricity by gas,1.0
p40.11.c,Electricity by nuclear,i40.11.c,Production of electricity by nuclear,1.0
p40.11.d,Electricity by hydro,i40.11.d,Production of electricity by hydro,1.0
p40.11.e,Electricity by wind,i40.11.e,Production of electricity by wind,1.0
p40.11.f,Electricity by petroleum and other oil derivatives,i40.11.f,Production of electricity by petroleum and other oil derivatives,1.0
