source_code,source_name,target_code,target_name,weight
c01.1.1,Bread and cereals (ND),p01.a,Paddy rice,1.0
c01.1.1,Bread and cereals (ND),p01.b,Wheat,1.0
c01.1.1,Bread and cereals (ND),p01.c,Cereal grains nec,1.0
c01.1.1,Bread and cereals (ND),p01.e,Oil seeds,1.0
c01.1.1,Bread and cereals (ND),p01.f,"Sugar cane, sugar beet",1.0
c01.1.1,Bread and cereals (ND),p01.g,Plant-based fibers,1.0
c01.1.1,Bread and cereals (ND),p01.h,Crops nec,1.0
c01.1.1,Bread and cereals (ND),p15.g,Processed rice,1.0
c01.1.1,Bread and cereals (ND),p15.i,Food products nec,1.0
c01.1.1,Bread and cereals (ND),p15.j,Beverages,1.0
c01.1.2,Meat (ND),p01.i,Cattle,1.0
c01.1.2,Meat (ND),p01.j,Pigs,1.0
c01.1.2,Meat (ND),p01.k,Poultry,1.0
c01.1.2,Meat (ND),p01.l,Meat animals nec,1.0
c01.1.2,Meat (ND),p01.m,Animal products nec,1.0
c01.1.2,Meat (ND),p01.n,Raw milk,1.0
c01.1.2,Meat (ND),p01.o,"Wool, silk-worm cocoons",1.0
c01.1.2,Meat (ND),p01.w.1,Manure (conventional treatment),1.0
c01.1.2,Meat (ND),p01.w.2,Manure (biogas treatment),1.0
c01.1.2,Meat (ND),p15.a,Products of meat cattle,1.0
c01.1.2,Meat (ND),p15.b,Products of meat pigs,1.0
c01.1.2,Meat (ND),p15.c,Products of meat poultry,1.0
c01.1.2,Meat (ND),p15.d,Meat products nec,1.0
c01.1.3,Fish and seafood (ND),p01.j,Pigs,1.0
c01.1.3,Fish and seafood (ND),p01.k,Poultry,1.0
c01.1.3,Fish and seafood (ND),p01.l,Meat animals nec,1.0
c01.1.3,Fish and seafood (ND),p01.m,Animal products nec,1.0
c01.1.3,Fish and seafood (ND),p01.n,Raw milk,1.0
c01.1.3,Fish and seafood (ND),p01.o,"Wool, silk-worm cocoons",1.0
c01.1.3,Fish and seafood (ND),p01.w.1,Manure (conventional treatment),1.0
c01.1.3,Fish and seafood (ND),p01.w.2,Manure (biogas treatment),1.0
c01.1.3,Fish and seafood (ND),p05,Fish and other fishing products; services incidental of fishing (05),1.0
c01.1.3,Fish and seafood (ND),p15.k,Fish products,1.0
c01.1.4,"Milk, cheese and eggs (ND)",p01.i,Cattle,1.0
c01.1.4,"Milk, cheese and eggs (ND)",p01.j,Pigs,1.0
c01.1.4,"Milk, cheese and eggs (ND)",p01.k,Poultry,1.0
c01.1.4,"Milk, cheese and eggs (ND)",p01.l,Meat animals nec,1.0
c01.1.4,"Milk, cheese and eggs (ND)",p01.m,Animal products nec,1.0
c01.1.4,"Milk, cheese and eggs (ND)",p01.n,Raw milk,1.0
c01.1.4,"Milk, cheese and eggs (ND)",p01.o,"Wool, silk-worm cocoons",1.0
c01.1.4,"Milk, cheese and eggs (ND)",p01.w.1,Manure (conventional treatment),1.0
c01.1.4,"Milk, cheese and eggs (ND)",p01.w.2,Manure (biogas treatment),1.0
c01.1.4,"Milk, cheese and eggs (ND)",p15.f,Dairy products,1.0
c01.1.4,"Milk, cheese and eggs (ND)",p15.i,Food products nec,1.0
c01.1.5,Oils and fats (ND),p15.a,Products of meat cattle,1.0
c01.1.5,Oils and fats (ND),p15.b,Products of meat pigs,1.0
c01.1.5,Oils and fats (ND),p15.c,Products of meat poultry,1.0
c01.1.5,Oils and fats (ND),p15.d,Meat products nec,1.0
c01.1.5,Oils and fats (ND),p15.e,products of Vegetable oils and fats,1.0
c01.1.5,Oils and fats (ND),p15.f,Dairy products,1.0
c01.1.5,Oils and fats (ND),p15.g,Processed rice,1.0
c01.1.5,Oils and fats (ND),p15.i,Food products nec,1.0
c01.1.6,Fruit (ND),p01.a,Paddy rice,1.0
c01.1.6,Fruit (ND),p01.b,Wheat,1.0
c01.1.6,Fruit (ND),p01.c,Cereal grains nec,1.0
c01.1.6,Fruit (ND),p01.d,"Vegetables, fruit, nuts",1.0
c01.1.6,Fruit (ND),p01.e,Oil seeds,1.0
c01.1.6,Fruit (ND),p01.f,"Sugar cane, sugar beet",1.0
c01.1.6,Fruit (ND),p01.g,Plant-based fibers,1.0
c01.1.6,Fruit (ND),p01.h,Crops nec,1.0
c01.1.6,Fruit (ND),p15.g,Processed rice,1.0
c01.1.6,Fruit (ND),p15.i,Food products nec,1.0
c01.1.7,Vegetables (ND),p01.a,Paddy rice,1.0
c01.1.7,Vegetables (ND),p01.b,Wheat,1.0
c01.1.7,Vegetables (ND),p01.c,Cereal grains nec,1.0
c01.1.7,Vegetables (ND),p01.d,"Vegetables, fruit, nuts",1.0
c01.1.7,Vegetables (ND),p01.e,Oil seeds,1.0
c01.1.7,Vegetables (ND),p01.f,"Sugar cane, sugar beet",1.0
c01.1.7,Vegetables (ND),p01.g,Plant-based fibers,1.0
c01.1.7,Vegetables (ND),p01.h,Crops nec,1.0
c01.1.7,Vegetables (ND),p05,Fish and other fishing products; services incidental of fishing (05),1.0
c01.1.7,Vegetables (ND),p15.g,Processed rice,1.0
c01.1.7,Vegetables (ND),p15.i,Food products nec,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",p01.j,Pigs,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",p01.k,Poultry,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",p01.l,Meat animals nec,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",p01.m,Animal products nec,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",p01.n,Raw milk,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",p01.o,"Wool, silk-worm cocoons",1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",p01.w.1,Manure (conventional treatment),1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",p01.w.2,Manure (biogas treatment),1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",p15.f,Dairy products,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",p15.g,Processed rice,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",p15.h,Sugar,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",p15.i,Food products nec,1.0
c01.1.9,Food products n.e.c. (ND),p01.d,"Vegetables, fruit, nuts",1.0
c01.1.9,Food products n.e.c. (ND),p01.e,Oil seeds,1.0
c01.1.9,Food products n.e.c. (ND),p01.h,Crops nec,1.0
c01.1.9,Food products n.e.c. (ND),p01.j,Pigs,1.0
c01.1.9,Food products n.e.c. (ND),p01.k,Poultry,1.0
c01.1.9,Food products n.e.c. (ND),p01.l,Meat animals nec,1.0
c01.1.9,Food products n.e.c. (ND),p01.m,Animal products nec,1.0
c01.1.9,Food products n.e.c. (ND),p01.n,Raw milk,1.0
c01.1.9,Food products n.e.c. (ND),p01.o,"Wool, silk-worm cocoons",1.0
c01.1.9,Food products n.e.c. (ND),p01.w.1,Manure (conventional treatment),1.0
