source_code,source_name,target_code,target_name,weight
c01.1.1,Bread and cereals (ND),111,,1.0
c01.1.1,Bread and cereals (ND),1531,,1.0
c01.1.1,Bread and cereals (ND),1532,,1.0
c01.1.1,Bread and cereals (ND),1541,,1.0
c01.1.1,Bread and cereals (ND),1544,,1.0
c01.1.1,Bread and cereals (ND),1549,,1.0
c01.1.1,Bread and cereals (ND),1553,,1.0
c01.1.2,Meat (ND),121,,1.0
c01.1.2,Meat (ND),122,,1.0
c01.1.2,Meat (ND),1511,,1.0
c01.1.3,Fish and seafood (ND),122,,1.0
c01.1.3,Fish and seafood (ND),500,,1.0
c01.1.3,Fish and seafood (ND),1512,,1.0
c01.1.4,"Milk, cheese and eggs (ND)",121,,1.0
c01.1.4,"Milk, cheese and eggs (ND)",122,,1.0
c01.1.4,"Milk, cheese and eggs (ND)",1520,,1.0
c01.1.4,"Milk, cheese and eggs (ND)",1549,,1.0
c01.1.5,Oils and fats (ND),1511,,1.0
c01.1.5,Oils and fats (ND),1514,,1.0
c01.1.5,Oils and fats (ND),1520,,1.0
c01.1.5,Oils and fats (ND),1532,,1.0
c01.1.6,Fruit (ND),111,,1.0
c01.1.6,Fruit (ND),112,,1.0
c01.1.6,Fruit (ND),113,,1.0
c01.1.6,Fruit (ND),1513,,1.0
c01.1.7,Vegetables (ND),111,,1.0
c01.1.7,Vegetables (ND),112,,1.0
c01.1.7,Vegetables (ND),500,,1.0
c01.1.7,Vegetables (ND),1513,,1.0
c01.1.7,Vegetables (ND),1531,,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",122,,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",1513,,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",1520,,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",1532,,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",1542,,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",1543,,1.0
c01.1.8,"Sugar, jam, honey, chocolate and confectionery (ND)",1549,,1.0
c01.1.9,Food products n.e.c. (ND),112,,1.0
c01.1.9,Food products n.e.c. (ND),113,,1.0
c01.1.9,Food products n.e.c. (ND),122,,1.0
c01.1.9,Food products n.e.c. (ND),1422,,1.0
c01.1.9,Food products n.e.c. (ND),1513,,1.0
c01.1.9,Food products n.e.c. (ND),1549,,1.0
c01.1.9,Food products n.e.c. (ND),2429,,1.0
c01.2.1,"Coffee, tea and cocoa (ND)",111,,1.0
c01.2.1,"Coffee, tea and cocoa (ND)",113,,1.0
c01.2.1,"Coffee, tea and cocoa (ND)",140,,1.0
c01.2.1,"Coffee, tea and cocoa (ND)",1543,,1.0
c01.2.1,"Coffee, tea and cocoa (ND)",1549,,1.0
c01.2.2,"Mineral waters, soft drinks, fruit and vegetable juices (ND)",1513,,1.0
c01.2.2,"Mineral waters, soft drinks, fruit and vegetable juices (ND)",1549,,1.0
c01.2.2,"Mineral waters, soft drinks, fruit and vegetable juices (ND)",1554,,1.0
c02.1.1,Spirits (ND),1551,,1.0
c02.1.1,Spirits (ND),1552,,1.0
c02.1.2,Wine (ND),1552,,1.0
c02.1.2,Wine (ND),1554,,1.0
c02.1.3,Beer (ND),1552,,1.0
c02.1.3,Beer (ND),1553,,1.0
