source_code,source_name,target_code,target_name,weight
CPA_A01,,p01.a,Paddy rice,1.0
CPA_A01,,p01.b,Wheat,1.0
CPA_A01,,p01.c,Cereal grains nec,1.0
CPA_A01,,p01.d,"Vegetables, fruit, nuts",1.0
CPA_A01,,p01.e,Oil seeds,1.0
CPA_A01,,p01.f,"Sugar cane, sugar beet",1.0
CPA_A01,,p01.g,Plant-based fibers,1.0
CPA_A01,,p01.h,Crops nec,1.0
CPA_A01,,p01.i,Cattle,1.0
CPA_A01,,p01.j,Pigs,1.0
CPA_A01,,p01.k,Poultry,1.0
CPA_A01,,p01.l,Meat animals nec,1.0
CPA_A01,,p01.m,Animal products nec,1.0
CPA_A01,,p01.n,Raw milk,1.0
CPA_A01,,p01.o,"Wool, silk-worm cocoons",1.0
CPA_A01,,p01.w.1,Manure (conventional treatment),1.0
CPA_A01,,p01.w.2,Manure (biogas treatment),1.0
CPA_A02,,p02,"Products of forestry, logging and related services (02)",1.0
CPA_A03,,p05,Fish and other fishing products; services incidental of fishing (05),1.0
CPA_B,,p10.a,Anthracite,1.0
CPA_B,,p10.b,Coking Coal,1.0
CPA_B,,p10.c,Other Bituminous Coal,1.0
CPA_B,,p10.d,Sub-Bituminous Coal,1.0
CPA_B,,p10.e,Patent Fuel,1.0
CPA_B,,p10.f,Lignite/Brown Coal,1.0
CPA_B,,p10.g,BKB/Peat Briquettes,1.0
CPA_B,,p10.h,Peat,1.0
CPA_B,,p11.a,"Crude petroleum and services related to crude oil extraction, excluding surveying",1.0
CPA_B,,p11.b,"Natural gas and services related to natural gas extraction, excluding surveying",1.0
CPA_B,,p11.b.1,Natural Gas Liquids,1.0
CPA_B,,p11.c,Other Hydrocarbons,1.0
CPA_B,,p12,Uranium and thorium ores (12),1.0
CPA_B,,p13.1,Iron ores,1.0
CPA_B,,p13.20.11,Copper ores and concentrates,1.0
CPA_B,,p13.20.12,Nickel ores and concentrates,1.0
CPA_B,,p13.20.13,Aluminium ores and concentrates,1.0
CPA_B,,p13.20.14,Precious metal ores and concentrates,1.0
CPA_B,,p13.20.15,"Lead, zinc and tin ores and concentrates",1.0
CPA_B,,p13.20.16,Other non-ferrous metal ores and concentrates,1.0
CPA_B,,p14.1,Stone,1.0
CPA_B,,p14.2,Sand and clay,1.0
CPA_B,,p14.3,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",1.0
CPA_C10-12,,p15.a,Products of meat cattle,1.0
CPA_C10-12,,p15.b,Products of meat pigs,1.0
CPA_C10-12,,p15.c,Products of meat poultry,1.0
CPA_C10-12,,p15.d,Meat products nec,1.0
CPA_C10-12,,p15.e,products of Vegetable oils and fats,1.0
CPA_C10-12,,p15.f,Dairy products,1.0
CPA_C10-12,,p15.g,Processed rice,1.0
CPA_C10-12,,p15.h,Sugar,1.0
CPA_C10-12,,p15.i,Food products nec,1.0
CPA_C10-12,,p15.j,Beverages,1.0
CPA_C10-12,,p15.k,Fish products,1.0
CPA_C10-12,,p16,Tobacco products (16),1.0
CPA_C13-15,,p17,Textiles (17),1.0
CPA_C13-15,,p18,Wearing apparel; furs (18),1.0
CPA_C13-15,,p19,Leather and leather products (19),1.0
CPA_C16,,p20,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),1.0
CPA_C16,,p20.w,"Wood material for treatment, Re-processing of secondary wood material into new wood material",1.0
CPA_C17,,p21.1,Pulp,1.0
CPA_C17,,p21.w.1,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",1.0
CPA_C17,,p21.2,Paper and paper products,1.0
CPA_C18,,p22,Printed matter and recorded media (22),1.0
CPA_C19,,p23.1.a,Coke Oven Coke,1.0
CPA_C19,,p23.1.b,Gas Coke,1.0
CPA_C19,,p23.1.c,Coal Tar,1.0
CPA_C19,,p23.20.a,Motor Gasoline,1.0
CPA_C19,,p23.20.b,Aviation Gasoline,1.0
CPA_C19,,p23.20.c,Gasoline Type Jet Fuel,1.0
CPA_C19,,p23.20.d,Kerosene Type Jet Fuel,1.0
CPA_C19,,p23.20.e,Kerosene,1.0
CPA_C19,,p23.20.f,Gas/Diesel Oil,1.0
CPA_C19,,p23.20.g,Heavy Fuel Oil,1.0
CPA_C19,,p23.20.h,Refinery Gas,1.0
CPA_C19,,p23.20.i,Liquefied Petroleum Gases (LPG),1.0
CPA_C19,,p23.20.j,Refinery Feedstocks,1.0
CPA_C19,,p23.20.k,Ethane,1.0
CPA_C19,,p23.20.l,Naphtha,1.0
CPA_C19,,p23.20.m,White Spirit & SBP,1.0
CPA_C19,,p23.20.n,Lubricants,1.0
CPA_C19,,p23.20.o,Bitumen,1.0
CPA_C19,,p23.20.p,Paraffin Waxes,1.0
CPA_C19,,p23.20.q,Petroleum Coke,1.0
CPA_C19,,p23.20.r,Non-specified Petroleum Products,1.0
CPA_C19,,p23.3,Nuclear fuel,1.0
CPA_C20,,p24.a,"Plastics, basic",1.0
CPA_C20,,p24.a.w,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",1.0
CPA_C20,,p24.b,N-fertiliser,1.0
CPA_C20,,p24.c,P- and other fertiliser,1.0
CPA_C20,,p24.d,Chemicals nec,1.0
CPA_C20,,p24.e,Charcoal,1.0
CPA_C20,,p24.f,Additives/Blending Components,1.0
CPA_C20,,p24.g,Biogasoline,1.0
CPA_C20,,p24.h,Biodiesels,1.0
CPA_C20,,p24.i,Other Liquid Biofuels,1.0
CPA_C21,,p24.a,"Plastics, basic",1.0
CPA_C21,,p24.a.w,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",1.0
CPA_C21,,p24.b,N-fertiliser,1.0
CPA_C21,,p24.c,P- and other fertiliser,1.0
CPA_C21,,p24.d,Chemicals nec,1.0
CPA_C21,,p24.e,Charcoal,1.0
CPA_C21,,p24.f,Additives/Blending Components,1.0
CPA_C21,,p24.g,Biogasoline,1.0
CPA_C21,,p24.h,Biodiesels,1.0
CPA_C21,,p24.i,Other Liquid Biofuels,1.0
CPA_C22,,p25,Rubber and plastic products (25),1.0
CPA_C23,,p26.a,Glass and glass products,1.0
CPA_C23,,p26.a.w,"Secondary glass for treatment, Re-processing of secondary glass into new glass",1.0
CPA_C23,,p26.b,Ceramic goods,1.0
CPA_C23,,p26.c,"Bricks, tiles and construction products, in baked clay",1.0
CPA_C23,,p26.d,"Cement, lime and plaster",1.0
CPA_C23,,p26.d.w,"Ash for treatment, Re-processing of ash into clinker",1.0
CPA_C23,,p26.e,Other non-metallic mineral products,1.0
CPA_C24,,p27.a,Basic iron and steel and of ferro-alloys and first products thereof,1.0
CPA_C24,,p27.a.w,"Secondary steel for treatment, Re-processing of secondary steel into new steel",1.0
CPA_C24,,p27.41,Precious metals,1.0
CPA_C24,,p27.41.w,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",1.0
CPA_C24,,p27.42,Aluminium and aluminium products,1.0
CPA_C24,,p27.42.w,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",1.0
CPA_C24,,p27.43,"Lead, zinc and tin and products thereof",1.0
CPA_C24,,p27.43.w,"Secondary lead for treatment, Re-processing of secondary lead into new lead",1.0
CPA_C24,,p27.44,Copper products,1.0
CPA_C24,,p27.44.w,"Secondary copper for treatment, Re-processing of secondary copper into new copper",1.0
CPA_C24,,p27.45,Other non-ferrous metal products,1.0
CPA_C24,,p27.45.w,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",1.0
CPA_C24,,p27.5,Foundry work services,1.0
CPA_C25,,p28,"Fabricated metal products, except machinery and equipment (28)",1.0
CPA_C26,,p30,Office machinery and computers (30),1.0
CPA_C26,,p32,"Radio, television and communication equipment and apparatus (32)",1.0
CPA_C26,,p33,"Medical, precision and optical instruments, watches and clocks (33)",1.0
CPA_C27,,p31,Electrical machinery and apparatus n.e.c. (31),1.0
CPA_C28,,p29,Machinery and equipment n.e.c. (29),1.0
CPA_C29,,p34,"Motor vehicles, trailers and semi-trailers (34)",1.0
CPA_C30,,p35,Other transport equipment (35),1.0
CPA_C31_32,,p33,"Medical, precision and optical instruments, watches and clocks (33)",1.0
CPA_C31_32,,p36,Furniture; other manufactured goods n.e.c. (36),1.0
CPA_C33,,p30,Office machinery and computers (30),1.0
CPA_C33,,p31,Electrical machinery and apparatus n.e.c. (31),1.0
CPA_C33,,p32,"Radio, television and communication equipment and apparatus (32)",1.0
CPA_C33,,p33,"Medical, precision and optical instruments, watches and clocks (33)",1.0
CPA_C33,,p36,Furniture; other manufactured goods n.e.c. (36),1.0
CPA_D,,p40.11.a,Electricity by coal,1.0
CPA_D,,p40.11.b,Electricity by gas,1.0
CPA_D,,p40.11.c,Electricity by nuclear,1.0
CPA_D,,p40.11.d,Electricity by hydro,1.0
CPA_D,,p40.11.e,Electricity by wind,1.0
CPA_D,,p40.11.f,Electricity by petroleum and other oil derivatives,1.0
CPA_D,,p40.11.g,Electricity by biomass and waste,1.0
CPA_D,,p40.11.h,Electricity by solar photovoltaic,1.0
CPA_D,,p40.11.i,Electricity by solar thermal,1.0
CPA_D,,p40.11.j,"Electricity by tide, wave, ocean",1.0
CPA_D,,p40.11.k,Electricity by Geothermal,1.0
CPA_D,,p40.11.l,Electricity nec,1.0
CPA_D,,p40.12,Transmission services of electricity,1.0
CPA_D,,p40.13,Distribution and trade services of electricity,1.0
CPA_D,,p40.2.a,Coke oven gas,1.0
CPA_D,,p40.2.b,Blast Furnace Gas,1.0
CPA_D,,p40.2.c,Oxygen Steel Furnace Gas,1.0
CPA_D,,p40.2.d,Gas Works Gas,1.0
CPA_D,,p40.2.e,Biogas,1.0
