source_code,source_name,target_code,target_name,weight
800,Agave fibres nes,p01.g,Plant-based fibers,1.0
221,"Almonds, with shell",p01.d,"Vegetables, fruit, nuts",1.0
711,"Anise, badian, fennel, coriander",p01.h,Crops nec,1.0
515,Apples,p01.d,"Vegetables, fruit, nuts",1.0
526,Apricots,p01.d,"Vegetables, fruit, nuts",1.0
226,Areca nuts,p01.d,"Vegetables, fruit, nuts",1.0
366,Artichokes,p01.d,"Vegetables, fruit, nuts",1.0
367,Asparagus,p01.d,"Vegetables, fruit, nuts",1.0
572,Avocados,p01.d,"Vegetables, fruit, nuts",1.0
203,Bambara beans,p01.d,"Vegetables, fruit, nuts",1.0
486,Bananas,p01.d,"Vegetables, fruit, nuts",1.0
44,Barley,p01.c,Cereal grains nec,1.0
782,"Bastfibres, other",p01.g,Plant-based fibers,1.0
176,"Beans, dry",p01.d,"Vegetables, fruit, nuts",1.0
414,"Beans, green",p01.d,"Vegetables, fruit, nuts",1.0
51,Beer of barley,p15.j,Beverages,1.0
1183,Beeswax,p01.m,Animal products nec,1.0
558,Berries nes,p01.d,"Vegetables, fruit, nuts",1.0
552,Blueberries,p01.d,"Vegetables, fruit, nuts",1.0
216,"Brazil nuts, with shell",p01.d,"Vegetables, fruit, nuts",1.0
181,"Broad beans, horse beans, dry",p01.d,"Vegetables, fruit, nuts",1.0
89,Buckwheat,p01.c,Cereal grains nec,1.0
983,"Butter and ghee, sheep milk",p15.f,Dairy products,1.0
952,"Butter, buffalo milk",p15.f,Dairy products,1.0
886,"Butter, cow milk",p15.f,Dairy products,1.0
358,Cabbages and other brassicas,p01.d,"Vegetables, fruit, nuts",1.0
101,Canary seed,p01.c,Cereal grains nec,1.0
461,Carobs,p01.d,"Vegetables, fruit, nuts",1.0
426,Carrots and turnips,p01.d,"Vegetables, fruit, nuts",1.0
217,"Cashew nuts, with shell",p01.d,"Vegetables, fruit, nuts",1.0
591,Cashewapple,p01.d,"Vegetables, fruit, nuts",1.0
125,Cassava,p01.d,"Vegetables, fruit, nuts",1.0
378,Cassava leaves,p01.d,"Vegetables, fruit, nuts",1.0
265,Castor oil seed,p01.e,Oil seeds,1.0
393,Cauliflowers and broccoli,p01.d,"Vegetables, fruit, nuts",1.0
108,"Cereals, nes",p01.c,Cereal grains nec,1.0
,Cheese of goat mlk,p15.f,Dairy products,1.0
955,"Cheese, buffalo milk",p15.f,Dairy products,1.0
984,"Cheese, sheep milk",p15.f,Dairy products,1.0
904,"Cheese, skimmed cow milk",p15.f,Dairy products,1.0
901,"Cheese, whole cow milk",p15.f,Dairy products,1.0
531,Cherries,p01.d,"Vegetables, fruit, nuts",1.0
530,"Cherries, sour",p01.d,"Vegetables, fruit, nuts",1.0
220,Chestnut,p01.d,"Vegetables, fruit, nuts",1.0
191,Chick peas,p01.d,"Vegetables, fruit, nuts",1.0
459,Chicory roots,p01.h,Crops nec,1.0
689,"Chillies and peppers, dry",p01.h,Crops nec,1.0
401,"Chillies and peppers, green",p01.d,"Vegetables, fruit, nuts",1.0
693,Cinnamon (canella),p01.h,Crops nec,1.0
698,Cloves,p01.h,Crops nec,1.0
661,"Cocoa, beans",p01.h,Crops nec,1.0
249,Coconuts,p01.d,"Vegetables, fruit, nuts",1.0
656,"Coffee, green",p01.h,Crops nec,1.0
813,Coir,p01.g,Plant-based fibers,1.0
,Copra,p01.d,"Vegetables, fruit, nuts",1.0
767,Cotton lint,p01.g,Plant-based fibers,1.0
