source_code,source_name,target_code,target_name,weight
27,"Rice, Paddy",01.11.14,"Rice, not husked",1.0
15,Wheat,01.11.11,Durum wheat,1.0
15,Wheat,01.11.12,Soft wheat and meslin,1.0
44,Barley,01.11.15,Barley,1.0
56,Maize,01.11.13,Maize (corn),1.0
68,Popcorn,01.11.17,Other cereals,1.0
71,Rye,01.11.16,"Rye, oats",1.0
75,Oats,01.11.17,Other cereals,1.0
79,Millet,01.11.17,Other cereals,1.0
83,Sorghum,01.11.17,Other cereals,1.0
89,Buckwheat,01.11.17,Other cereals,1.0
92,Quinoa,01.11.17,Other cereals,1.0
94,Fonio,01.11.17,Other cereals,1.0
97,Triticale,01.11.17,Other cereals,1.0
101,Canary Seed,01.11.17,Other cereals,1.0
103,"Grain, mixed",01.11.17,Other cereals,1.0
108,"Cereals, nes",01.11.17,Other cereals,1.0
249,Coconuts,01.13.21,"Dates, figs, bananas, coconuts, Brazil nuts, cashew nuts, pineapples, avocados, mangoes, guavas",1.0
461,Carobs,01.11.22,"Dried leguminous vegetables, shelled",1.0
486,Bananas,01.13.21,"Dates, figs, bananas, coconuts, Brazil nuts, cashew nuts, pineapples, avocados, mangoes, guavas",1.0
489,Plantains,01.13.21,"Dates, figs, bananas, coconuts, Brazil nuts, cashew nuts, pineapples, avocados, mangoes, guavas",1.0
490,Oranges,01.13.22,Citrus fruit,1.0
495,"Tangerines, mandarins, clementines, satsumas",01.13.22,Citrus fruit,1.0
497,Lemons and Limes,01.13.22,Citrus fruit,1.0
507,Grapefruit (inc. pomelos),01.13.22,Citrus fruit,1.0
512,"Fruit, citrus nes",01.13.22,Citrus fruit,1.0
515,Apples,01.13.23,"Other fruit, locust beans",1.0
521,Pears,01.13.23,"Other fruit, locust beans",1.0
523,Quinces,01.13.23,"Other fruit, locust beans",1.0
526,Apricots,01.13.23,"Other fruit, locust beans",1.0
530,"Cherries, sour",01.13.23,"Other fruit, locust beans",1.0
531,Cherries,01.13.23,"Other fruit, locust beans",1.0
534,Peaches and Nectarines,01.13.23,"Other fruit, locust beans",1.0
536,Plums and sloes,01.13.23,"Other fruit, locust beans",1.0
541,"Fruit, stone nes",01.13.23,"Other fruit, locust beans",1.0
542,"Fruit, pome nes",01.13.23,"Other fruit, locust beans",1.0
544,Strawberries,01.13.23,"Other fruit, locust beans",1.0
547,Raspberries,01.13.23,"Other fruit, locust beans",1.0
549,Gooseberries,01.13.23,"Other fruit, locust beans",1.0
550,Currants,01.13.23,"Other fruit, locust beans",1.0
552,Blueberries,01.13.23,"Other fruit, locust beans",1.0
554,Cranberries,01.13.23,"Other fruit, locust beans",1.0
558,Berries nes,01.13.23,"Other fruit, locust beans",1.0
560,Grapes,01.13.11,Table grapes,1.0
560,Grapes,01.13.12,"Other grapes, fresh",1.0
569,Figs,01.13.21,"Dates, figs, bananas, coconuts, Brazil nuts, cashew nuts, pineapples, avocados, mangoes, guavas",1.0
571,"Mangoes, mangosteens, guavas",01.13.21,"Dates, figs, bananas, coconuts, Brazil nuts, cashew nuts, pineapples, avocados, mangoes, guavas",1.0
572,Avocados,01.13.21,"Dates, figs, bananas, coconuts, Brazil nuts, cashew nuts, pineapples, avocados, mangoes, guavas",1.0
574,Pineapples,01.13.21,"Dates, figs, bananas, coconuts, Brazil nuts, cashew nuts, pineapples, avocados, mangoes, guavas",1.0
577,Dates,01.13.21,"Dates, figs, bananas, coconuts, Brazil nuts, cashew nuts, pineapples, avocados, mangoes, guavas",1.0
587,Persimmons,01.13.23,"Other fruit, locust beans",1.0
591,Cashewapple,01.13.23,"Other fruit, locust beans",1.0
592,Kiwi Fruit,01.13.23,"Other fruit, locust beans",1.0
600,Papayas,01.13.23,"Other fruit, locust beans",1.0
603,"Fruit, tropical fresh nes",01.13.23,"Other fruit, locust beans",1.0
619,"Fruit, fresh nes",01.13.23,"Other fruit, locust beans",1.0
216,"Brazil nuts, with shell",01.13.21,"Dates, figs, bananas, coconuts, Brazil nuts, cashew nuts, pineapples, avocados, mangoes, guavas",1.0
217,"Cashew nuts, with shell",01.13.21,"Dates, figs, bananas, coconuts, Brazil nuts, cashew nuts, pineapples, avocados, mangoes, guavas",1.0
220,Chestnut,01.13.24,Olives and other nuts,1.0
221,"Almonds, with shell",01.13.24,Olives and other nuts,1.0
222,"Walnuts, with shell",01.13.24,Olives and other nuts,1.0
223,Pistachios,01.13.24,Olives and other nuts,1.0
224,Kola nuts,01.13.24,Olives and other nuts,1.0
225,"Hazelnuts, with shell",01.13.24,Olives and other nuts,1.0
226,Areca nuts,01.13.24,Olives and other nuts,1.0
234,"Nuts, nes",01.13.24,Olives and other nuts,1.0
176,"Beans, dry",01.12.12,Vegetables cultivated for their fruits,1.0
181,"Broad beans, horse beans, dry",01.12.12,Vegetables cultivated for their fruits,1.0
187,"Peas, dry",01.12.12,Vegetables cultivated for their fruits,1.0
191,Chick peas,01.12.12,Vegetables cultivated for their fruits,1.0
195,"Cow peas, dry",01.12.12,Vegetables cultivated for their fruits,1.0
197,Pigeon peas,01.12.12,Vegetables cultivated for their fruits,1.0
201,Lentils,01.11.22,"Dried leguminous vegetables, shelled",1.0
203,Bambara beans,01.12.12,Vegetables cultivated for their fruits,1.0
205,Vetches,01.12.12,Vegetables cultivated for their fruits,1.0
210,Lupins,01.12.12,Vegetables cultivated for their fruits,1.0
211,"Pulses, nes",01.12.12,Vegetables cultivated for their fruits,1.0
414,"Beans, green",01.12.12,Vegetables cultivated for their fruits,1.0
423,String beans,01.12.12,Vegetables cultivated for their fruits,1.0
116,Potatoes,01.11.21,Potatoes,1.0
122,Sweet Potatoes,01.11.21,Potatoes,1.0
125,Cassava,01.11.23,Edible roots and tubers with high starch or inulin content,1.0
135,Yautia (cocoyam),01.12.11,Root and tuber vegetables,1.0
136,Taro (cocoyam),01.12.11,Root and tuber vegetables,1.0
137,Yams,01.12.11,Root and tuber vegetables,1.0
149,"Roots and Tubers, nes",01.12.11,Root and tuber vegetables,1.0
260,Olives,01.13.24,Olives and other nuts,1.0
358,Cabbages and other brassicas,01.12.13,Other vegetables n.e.c.,1.0
366,Artichokes,01.12.13,Other vegetables n.e.c.,1.0
367,Asparagus,01.12.13,Other vegetables n.e.c.,1.0
372,Lettuce and chicory,01.12.13,Other vegetables n.e.c.,1.0
373,Spinach,01.12.13,Other vegetables n.e.c.,1.0
378,Cassava leaves,01.11.23,Edible roots and tubers with high starch or inulin content,1.0
388,Tomatoes,01.12.12,Vegetables cultivated for their fruits,1.0
393,Cauliflowers and broccoli,01.12.13,Other vegetables n.e.c.,1.0
394,"Pumpkins, squash and gourds",01.12.12,Vegetables cultivated for their fruits,1.0
397,Cucumbers and Gherkins,01.12.12,Vegetables cultivated for their fruits,1.0
399,Eggplants (aubergines),01.12.13,Other vegetables n.e.c.,1.0
401,"Chillies and peppers, green",01.12.13,Other vegetables n.e.c.,1.0
402,"Onions, shallots, green",01.12.11,Root and tuber vegetables,1.0
403,"Onions, dry",01.12.11,Root and tuber vegetables,1.0
406,Garlic,01.12.11,Root and tuber vegetables,1.0
407,"Leeks, other alliaceous vegetables",01.12.11,Root and tuber vegetables,1.0
417,"Peas, Green",01.12.12,Vegetables cultivated for their fruits,1.0
420,"Vegetables, leguminous nes",01.12.12,Vegetables cultivated for their fruits,1.0
426,Carrots and turnips,01.12.11,Root and tuber vegetables,1.0
430,Okra,01.12.13,Other vegetables n.e.c.,1.0
446,"Maize, green",01.12.13,Other vegetables n.e.c.,1.0
449,Mushrooms and truffles,01.12.13,Other vegetables n.e.c.,1.0
463,"Vegetables, fresh nes",01.12.13,Other vegetables n.e.c.,1.0
567,Watermelons,01.12.12,Vegetables cultivated for their fruits,1.0
568,"Melons, other (inc.cantaloupes)",01.12.12,Vegetables cultivated for their fruits,1.0
