source_code,source_name,target_code,target_name,weight
010111,"Horses, Live",p01.l,Meat animals nec,1.0
010119,"Horses, Live",p01.l,Meat animals nec,1.0
010120,"Asses, Mules And Hinnies, Live",p01.l,Meat animals nec,1.0
010210,Purebred Bovine Breeding Animals,p01.i,Cattle,1.0
010290,"Bovine Animals, Other Than Purebred Breeding Animals, Live",p01.i,Cattle,1.0
010310,Purebred Swine Breeding Animals,p01.j,Pigs,1.0
010391,"Swine Other Than Purebred Breeding Animals, Live",p01.j,Pigs,1.0
010392,"Swine Other Than Purebred Breeding Animals, Live",p01.j,Pigs,1.0
010410,"Sheep, Live",p01.l,Meat animals nec,1.0
010420,"Goats, Live",p01.l,Meat animals nec,1.0
010511,"Poultry, Live, Weighing Not Over 185 Grams (6.53 Oz.)",p01.k,Poultry,1.0
010512,"Poultry, Live, Weighing Not Over 185 Grams (6.53 Oz.)",p01.k,Poultry,1.0
010519,"Poultry, Live, Weighing Not Over 185 Grams (6.53 Oz.)",p01.k,Poultry,1.0
010592,"Poultry, Live, Weighing Over 185 Grams (6.53 Oz.)",p01.k,Poultry,1.0
010593,"Poultry, Live, Weighing Over 185 Grams (6.53 Oz.)",p01.k,Poultry,1.0
010599,"Poultry, Live, Weighing Over 185 Grams (6.53 Oz.)",p01.k,Poultry,1.0
010600,"Live Animals, N.E.S.",p01.l,Meat animals nec,1.0
020110,"Meat Of Bovine Animals With Bone In, Fresh Or Chilled",p15.a,Products of meat cattle,1.0
020120,"Meat Of Bovine Animals With Bone In, Fresh Or Chilled",p15.a,Products of meat cattle,1.0
020130,"Meat Of Bovine Animals, Boneless, Fresh Or Chilled",p15.a,Products of meat cattle,1.0
020210,"Meat Of Bovine Animals With Bone In, Frozen",p15.a,Products of meat cattle,1.0
020220,"Meat Of Bovine Animals With Bone In, Frozen",p15.a,Products of meat cattle,1.0
020230,"Meat Of Bovine Animals, Boneless, Frozen",p15.a,Products of meat cattle,1.0
020311,"Meat Of Swine, Fresh Or Chilled",p15.b,Products of meat pigs,1.0
020312,"Meat Of Swine, Fresh Or Chilled",p15.b,Products of meat pigs,1.0
020319,"Meat Of Swine, Fresh Or Chilled",p15.b,Products of meat pigs,1.0
020321,"Meat Of Swine, Frozen",p15.b,Products of meat pigs,1.0
020322,"Meat Of Swine, Frozen",p15.b,Products of meat pigs,1.0
020329,"Meat Of Swine, Frozen",p15.b,Products of meat pigs,1.0
020410,"Meat Of Sheep, Fresh Or Chilled",p15.d,Meat products nec,1.0
020421,"Meat Of Sheep, Fresh Or Chilled",p15.d,Meat products nec,1.0
020422,"Meat Of Sheep, Fresh Or Chilled",p15.d,Meat products nec,1.0
020423,"Meat Of Sheep, Fresh Or Chilled",p15.d,Meat products nec,1.0
020430,"Meat Of Sheep, Frozen",p15.d,Meat products nec,1.0
020441,"Meat Of Sheep, Frozen",p15.d,Meat products nec,1.0
020442,"Meat Of Sheep, Frozen",p15.d,Meat products nec,1.0
020443,"Meat Of Sheep, Frozen",p15.d,Meat products nec,1.0
020450,"Meat Of Goats, Fresh, Chilled Or Frozen",p15.d,Meat products nec,1.0
020500,"Meat Of Horses, Asses, Mules, Or Hinnies, Fresh, Chilled Or Frozen",p15.d,Meat products nec,1.0
020610,"Edible Offal Of Bovine Animals, Fresh Or Chilled",p15.d,Meat products nec,1.0
020621,"Edible Offal Of Bovine Animals, Frozen",p15.d,Meat products nec,1.0
020622,"Edible Offal Of Bovine Animals, Frozen",p15.d,Meat products nec,1.0
020629,"Edible Offal Of Bovine Animals, Frozen",p15.d,Meat products nec,1.0
020630,"Edible Offal Of Swine, Fresh Or Chilled",p15.d,Meat products nec,1.0
020641,"Edible Offal Of Swine, Frozen",p15.d,Meat products nec,1.0
020649,"Edible Offal Of Swine, Frozen",p15.d,Meat products nec,1.0
020680,"Edible Offal Of Sheep, Goats, Horses, Asses, Mules Or Hinnies, Fresh Or Chilled",p15.d,Meat products nec,1.0
020690,"Edible Offal Of Sheep, Goats, Horses, Asses, Mules Or Hinnies, Frozen",p15.d,Meat products nec,1.0
020711,"Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Fresh Or Chilled",p15.c,Products of meat poultry,1.0
020712,"Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Frozen",p15.c,Products of meat poultry,1.0
020713,"Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Fatty Livers Of Ducks Or Geese, Fresh Or Chilled",p15.c,Products of meat poultry,1.0
020714,"Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Liver, Frozen",p15.c,Products of meat poultry,1.0
020724,"Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Fresh Or Chilled",p15.c,Products of meat poultry,1.0
020725,"Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Frozen",p15.c,Products of meat poultry,1.0
020726,"Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Fatty Livers Of Ducks Or Geese, Fresh Or Chilled",p15.c,Products of meat poultry,1.0
020727,"Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Liver, Frozen",p15.c,Products of meat poultry,1.0
020732,"Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Fresh Or Chilled",p15.c,Products of meat poultry,1.0
020733,"Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Frozen",p15.c,Products of meat poultry,1.0
020734,"Fatty Livers Of Geese Or Ducks, Fresh Or Chilled",p15.c,Products of meat poultry,1.0
020735,"Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Fatty Livers Of Ducks Or Geese, Fresh Or Chilled",p15.c,Products of meat poultry,1.0
020736,"Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Liver, Frozen",p15.c,Products of meat poultry,1.0
020810,"Meat And Edible Meat Offal Of Rabbits Or Hares, Fresh, Chilled Or Frozen",p15.c,Products of meat poultry,1.0
020820,"Frogs Legs, Fresh, Chilled Or Frozen",p01.m,Animal products nec,1.0
020890,"Meat And Edible Meat Offal, N.E.S., Fresh, Chilled Or Frozen",p15.c,Products of meat poultry,1.0
020900,"Pig Fat (Without Lean Meat) And Poultry Fat (Not Rendered), Fresh, Chilled, Frozen, Salted, In Brine, Dried Or Smoked",p15.e,products of Vegetable oils and fats,1.0
150100,"Lard; Pig Fat, N.E.S., And Poultry Fat, Rendered, Whether Or Not Pressed Or Solvent Extracted",p15.e,products of Vegetable oils and fats,1.0
021011,"Hams, Shoulders And Cuts Thereof, Of Swine, With Bone In, Dried, Salted Or Smoked",p15.d,Meat products nec,1.0
021012,"Bellies (Streaky) And Cuts Thereof, Of Swine, Salted, In Brine, Dried Or Smoked",p15.d,Meat products nec,1.0
021019,"Meat Of Swine, Salted, In Brine, Dried Or Smoked, N.E.S.",p15.d,Meat products nec,1.0
021020,"Meat Of Bovine Animals, Salted, In Brine, Dried Or Smoked",p15.d,Meat products nec,1.0
021090,"Meat, N.E.S., And Edible Meat Offal, Salted, In Brine, Dried Or Smoked, Including Edible Flours And Meals Of Meat Or Meat Offal",p15.d,Meat products nec,1.0
030110,"Fish, Live",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030191,"Fish, Live",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030192,"Fish, Live",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030193,"Fish, Live",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030199,"Fish, Live",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030211,"Salmonidae, Fresh Or Chilled (Excluding Livers And Roes)",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030212,"Salmonidae, Fresh Or Chilled (Excluding Livers And Roes)",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030219,"Salmonidae, Fresh Or Chilled (Excluding Livers And Roes)",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030221,"Flat Fish, Fresh Or Chilled (Excluding Livers And Roes)",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030222,"Flat Fish, Fresh Or Chilled (Excluding Livers And Roes)",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030223,"Flat Fish, Fresh Or Chilled (Excluding Livers And Roes)",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030229,"Flat Fish, Fresh Or Chilled (Excluding Livers And Roes)",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030231,"Tunas, Skipjack Or Stripe",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030232,"Tunas, Skipjack Or Stripe",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030233,"Tunas, Skipjack Or Stripe",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030239,"Tunas, Skipjack Or Stripe",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030240,"Herrings, Sardines, Sardinella, Brislings Or Sprats, Fresh Or Chilled (Excluding Livers And Roes)",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030250,"Cod, Fresh Or Chilled (Excluding Livers And Roes)",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030261,"Herrings, Sardines, Sardinella, Brislings Or Sprats, Fresh Or Chilled (Excluding Livers And Roes)",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030262,"Fish, N.E.S., Fresh Or Chilled (Excluding Livers And Roes)",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030263,"Fish, N.E.S., Fresh Or Chilled (Excluding Livers And Roes)",p05,Fish and other fishing products; services incidental of fishing (05),1.0
030264,"Mackerel (Scombrids), Fresh Or Chilled (Excluding Livers And Roes)",p05,Fish and other fishing products; services incidental of fishing (05),1.0
