source_code,source_name,target_code,target_name,weight
A01,,i01.a,Cultivation of paddy rice,1.0
A01,,i01.b,Cultivation of wheat,1.0
A01,,i01.c,Cultivation of cereal grains nec,1.0
A01,,i01.d,"Cultivation of vegetables, fruit, nuts",1.0
A01,,i01.e,Cultivation of oil seeds,1.0
A01,,i01.f,"Cultivation of sugar cane, sugar beet",1.0
A01,,i01.g,Cultivation of plant-based fibers,1.0
A01,,i01.h,Cultivation of crops nec,1.0
A01,,i01.i,Cattle farming,1.0
A01,,i01.j,Pigs farming,1.0
A01,,i01.k,Poultry farming,1.0
A01,,i01.l,Meat animals nec,1.0
A01,,i01.m,Animal products nec,1.0
A01,,i01.n,Raw milk,1.0
A01,,i01.o,"Wool, silk-worm cocoons",1.0
A01,,i01.w.1,"Manure treatment (conventional), storage and land application",1.0
A01,,i01.w.2,"Manure treatment (biogas), storage and land application",1.0
A02,,i02,"Forestry, logging and related service activities (02)",1.0
A03,,i05,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",1.0
B05,,i10,Mining of coal and lignite; extraction of peat (10),1.0
B05,,i12,Mining of uranium and thorium ores (12),1.0
B06,,i11.a,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",1.0
B06,,i11.b,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",1.0
B06,,i11.c,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",1.0
B07,,i13.1,Mining of iron ores,1.0
B07,,i13.20.11,Mining of copper ores and concentrates,1.0
B07,,i13.20.12,Mining of nickel ores and concentrates,1.0
B07,,i13.20.13,Mining of aluminium ores and concentrates,1.0
B07,,i13.20.14,Mining of precious metal ores and concentrates,1.0
B07,,i13.20.15,"Mining of lead, zinc and tin ores and concentrates",1.0
B07,,i13.20.16,Mining of other non-ferrous metal ores and concentrates,1.0
B08,,i14.1,Quarrying of stone,1.0
B08,,i14.2,Quarrying of sand and clay,1.0
B08,,i14.3,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",1.0
B09,,i10,Mining of coal and lignite; extraction of peat (10),1.0
