source_code,source_name,target_code,target_name,weight
1,,i01.a,Cultivation of paddy rice,1.0
1,,i01.b,Cultivation of wheat,1.0
1,,i01.c,Cultivation of cereal grains nec,1.0
1,,i01.d,"Cultivation of vegetables, fruit, nuts",1.0
1,,i01.e,Cultivation of oil seeds,1.0
1,,i01.f,"Cultivation of sugar cane, sugar beet",1.0
1,,i01.g,Cultivation of plant-based fibers,1.0
1,,i01.h,Cultivation of crops nec,1.0
1,,i01.i,Cattle farming,1.0
1,,i01.j,Pigs farming,1.0
1,,i01.k,Poultry farming,1.0
1,,i01.l,Meat animals nec,1.0
1,,i01.m,Animal products nec,1.0
1,,i01.n,Raw milk,1.0
1,,i01.o,"Wool, silk-worm cocoons",1.0
1,,i01.w.1,"Manure treatment (conventional), storage and land application",1.0
1,,i01.w.2,"Manure treatment (biogas), storage and land application",1.0
11,,i01.a,Cultivation of paddy rice,1.0
11,,i01.b,Cultivation of wheat,1.0
11,,i01.c,Cultivation of cereal grains nec,1.0
11,,i01.d,"Cultivation of vegetables, fruit, nuts",1.0
11,,i01.e,Cultivation of oil seeds,1.0
11,,i01.f,"Cultivation of sugar cane, sugar beet",1.0
11,,i01.g,Cultivation of plant-based fibers,1.0
11,,i01.h,Cultivation of crops nec,1.0
111,,i01.a,Cultivation of paddy rice,1.0
111,,i01.b,Cultivation of wheat,1.0
111,,i01.c,Cultivation of cereal grains nec,1.0
111,,i01.e,Cultivation of oil seeds,1.0
111,,i01.f,"Cultivation of sugar cane, sugar beet",1.0
111,,i01.g,Cultivation of plant-based fibers,1.0
111,,i01.h,Cultivation of crops nec,1.0
112,,i01.d,"Cultivation of vegetables, fruit, nuts",1.0
112,,i01.e,Cultivation of oil seeds,1.0
112,,i01.h,Cultivation of crops nec,1.0
113,,i01.d,"Cultivation of vegetables, fruit, nuts",1.0
113,,i01.h,Cultivation of crops nec,1.0
12,,i01.i,Cattle farming,1.0
12,,i01.j,Pigs farming,1.0
12,,i01.k,Poultry farming,1.0
12,,i01.l,Meat animals nec,1.0
12,,i01.m,Animal products nec,1.0
12,,i01.n,Raw milk,1.0
12,,i01.o,"Wool, silk-worm cocoons",1.0
12,,i01.w.1,"Manure treatment (conventional), storage and land application",1.0
12,,i01.w.2,"Manure treatment (biogas), storage and land application",1.0
121,,i01.i,Cattle farming,1.0
121,,i01.l,Meat animals nec,1.0
121,,i01.m,Animal products nec,1.0
121,,i01.n,Raw milk,1.0
121,,i01.o,"Wool, silk-worm cocoons",1.0
121,,i01.w.1,"Manure treatment (conventional), storage and land application",1.0
121,,i01.w.2,"Manure treatment (biogas), storage and land application",1.0
122,,i01.j,Pigs farming,1.0
122,,i01.k,Poultry farming,1.0
122,,i01.l,Meat animals nec,1.0
122,,i01.m,Animal products nec,1.0
122,,i01.n,Raw milk,1.0
122,,i01.o,"Wool, silk-worm cocoons",1.0
122,,i01.w.1,"Manure treatment (conventional), storage and land application",1.0
122,,i01.w.2,"Manure treatment (biogas), storage and land application",1.0
13,,i01.a,Cultivation of paddy rice,1.0
13,,i01.b,Cultivation of wheat,1.0
13,,i01.c,Cultivation of cereal grains nec,1.0
13,,i01.d,"Cultivation of vegetables, fruit, nuts",1.0
13,,i01.e,Cultivation of oil seeds,1.0
13,,i01.f,"Cultivation of sugar cane, sugar beet",1.0
13,,i01.g,Cultivation of plant-based fibers,1.0
13,,i01.h,Cultivation of crops nec,1.0
13,,i01.i,Cattle farming,1.0
13,,i01.j,Pigs farming,1.0
13,,i01.k,Poultry farming,1.0
13,,i01.l,Meat animals nec,1.0
13,,i01.m,Animal products nec,1.0
13,,i01.n,Raw milk,1.0
13,,i01.o,"Wool, silk-worm cocoons",1.0
13,,i01.w.1,"Manure treatment (conventional), storage and land application",1.0
13,,i01.w.2,"Manure treatment (biogas), storage and land application",1.0
130,,i01.a,Cultivation of paddy rice,1.0
130,,i01.b,Cultivation of wheat,1.0
130,,i01.c,Cultivation of cereal grains nec,1.0
130,,i01.d,"Cultivation of vegetables, fruit, nuts",1.0
130,,i01.e,Cultivation of oil seeds,1.0
130,,i01.f,"Cultivation of sugar cane, sugar beet",1.0
130,,i01.g,Cultivation of plant-based fibers,1.0
130,,i01.h,Cultivation of crops nec,1.0
130,,i01.i,Cattle farming,1.0
130,,i01.j,Pigs farming,1.0
130,,i01.k,Poultry farming,1.0
130,,i01.l,Meat animals nec,1.0
130,,i01.m,Animal products nec,1.0
130,,i01.n,Raw milk,1.0
130,,i01.o,"Wool, silk-worm cocoons",1.0
130,,i01.w.1,"Manure treatment (conventional), storage and land application",1.0
130,,i01.w.2,"Manure treatment (biogas), storage and land application",1.0
14,,i01.a,Cultivation of paddy rice,1.0
