source_code,source_name,target_code,target_name,weight
A,,p01.a,Paddy rice,1.0
A,,p01.b,Wheat,1.0
A,,p01.c,Cereal grains nec,1.0
A,,p01.d,"Vegetables, fruit, nuts",1.0
A,,p01.e,Oil seeds,1.0
A,,p01.f,"Sugar cane, sugar beet",1.0
A,,p01.g,Plant-based fibers,1.0
A,,p01.h,Crops nec,1.0
A,,p01.i,Cattle,1.0
A,,p01.j,Pigs,1.0
A,,p01.k,Poultry,1.0
A,,p01.l,Meat animals nec,1.0
A,,p01.m,Animal products nec,1.0
A,,p01.n,Raw milk,1.0
A,,p01.o,"Wool, silk-worm cocoons",1.0
A,,p01.w.1,Manure (conventional treatment),1.0
A,,p01.w.2,Manure (biogas treatment),1.0
A,,p02,"Products of forestry, logging and related services (02)",1.0
A,,p05,Fish and other fishing products; services incidental of fishing (05),1.0
01,,p01.a,Paddy rice,1.0
01,,p01.b,Wheat,1.0
01,,p01.c,Cereal grains nec,1.0
01,,p01.d,"Vegetables, fruit, nuts",1.0
01,,p01.e,Oil seeds,1.0
01,,p01.f,"Sugar cane, sugar beet",1.0
01,,p01.g,Plant-based fibers,1.0
01,,p01.h,Crops nec,1.0
01,,p01.i,Cattle,1.0
01,,p01.j,Pigs,1.0
01,,p01.k,Poultry,1.0
01,,p01.l,Meat animals nec,1.0
01,,p01.m,Animal products nec,1.0
01,,p01.n,Raw milk,1.0
01,,p01.o,"Wool, silk-worm cocoons",1.0
01,,p01.w.1,Manure (conventional treatment),1.0
01,,p01.w.2,Manure (biogas treatment),1.0
01.1,,p01.a,Paddy rice,1.0
01.1,,p01.b,Wheat,1.0
01.1,,p01.c,Cereal grains nec,1.0
01.1,,p01.d,"Vegetables, fruit, nuts",1.0
01.1,,p01.e,Oil seeds,1.0
01.1,,p01.f,"Sugar cane, sugar beet",1.0
01.1,,p01.g,Plant-based fibers,1.0
01.1,,p01.h,Crops nec,1.0
01.11,,p01.b,Wheat,1.0
01.11,,p01.c,Cereal grains nec,1.0
01.11,,p01.d,"Vegetables, fruit, nuts",1.0
01.11,,p01.e,Oil seeds,1.0
01.12,,p01.a,Paddy rice,1.0
01.13,,p01.d,"Vegetables, fruit, nuts",1.0
01.13,,p01.h,Crops nec,1.0
01.14,,p01.f,"Sugar cane, sugar beet",1.0
01.15,,p01.h,Crops nec,1.0
01.16,,p01.g,Plant-based fibers,1.0
01.19,,p01.h,Crops nec,1.0
01.2,,p01.d,"Vegetables, fruit, nuts",1.0
01.2,,p01.h,Crops nec,1.0
01.21,,p01.d,"Vegetables, fruit, nuts",1.0
01.22,,p01.d,"Vegetables, fruit, nuts",1.0
01.23,,p01.d,"Vegetables, fruit, nuts",1.0
01.24,,p01.d,"Vegetables, fruit, nuts",1.0
01.25,,p01.d,"Vegetables, fruit, nuts",1.0
01.26,,p01.d,"Vegetables, fruit, nuts",1.0
01.27,,p01.h,Crops nec,1.0
01.28,,p01.h,Crops nec,1.0
01.29,,p01.h,Crops nec,1.0
01.3,,p01.h,Crops nec,1.0
01.30,,p01.h,Crops nec,1.0
01.4,,p01.i,Cattle,1.0
01.4,,p01.j,Pigs,1.0
01.4,,p01.k,Poultry,1.0
01.4,,p01.l,Meat animals nec,1.0
01.4,,p01.m,Animal products nec,1.0
01.4,,p01.n,Raw milk,1.0
01.4,,p01.o,"Wool, silk-worm cocoons",1.0
01.41,,p01.n,Raw milk,1.0
01.42,,p01.i,Cattle,1.0
01.43,,p01.l,Meat animals nec,1.0
01.44,,p01.l,Meat animals nec,1.0
01.45,,p01.l,Meat animals nec,1.0
01.45,,p01.o,"Wool, silk-worm cocoons",1.0
01.46,,p01.j,Pigs,1.0
01.47,,p01.k,Poultry,1.0
01.49,,p01.l,Meat animals nec,1.0
01.49,,p01.m,Animal products nec,1.0
01.5,,p01.a,Paddy rice,1.0
01.5,,p01.b,Wheat,1.0
01.5,,p01.c,Cereal grains nec,1.0
01.5,,p01.d,"Vegetables, fruit, nuts",1.0
01.5,,p01.e,Oil seeds,1.0
01.5,,p01.f,"Sugar cane, sugar beet",1.0
01.5,,p01.g,Plant-based fibers,1.0
01.5,,p01.h,Crops nec,1.0
01.5,,p01.i,Cattle,1.0
01.5,,p01.j,Pigs,1.0
01.5,,p01.k,Poultry,1.0
01.5,,p01.l,Meat animals nec,1.0
01.5,,p01.m,Animal products nec,1.0
01.5,,p01.n,Raw milk,1.0
01.5,,p01.o,"Wool, silk-worm cocoons",1.0
01.5,,p01.w.1,Manure (conventional treatment),1.0
01.5,,p01.w.2,Manure (biogas treatment),1.0
01.50,,p01.a,Paddy rice,1.0
01.50,,p01.b,Wheat,1.0
01.50,,p01.c,Cereal grains nec,1.0
01.50,,p01.d,"Vegetables, fruit, nuts",1.0
01.50,,p01.e,Oil seeds,1.0
01.50,,p01.f,"Sugar cane, sugar beet",1.0
01.50,,p01.g,Plant-based fibers,1.0
01.50,,p01.h,Crops nec,1.0
01.50,,p01.i,Cattle,1.0
01.50,,p01.j,Pigs,1.0
01.50,,p01.k,Poultry,1.0
01.50,,p01.l,Meat animals nec,1.0
01.50,,p01.m,Animal products nec,1.0
01.50,,p01.n,Raw milk,1.0
01.50,,p01.o,"Wool, silk-worm cocoons",1.0
01.50,,p01.w.1,Manure (conventional treatment),1.0
01.50,,p01.w.2,Manure (biogas treatment),1.0
01.6,,p01.a,Paddy rice,1.0
01.6,,p01.b,Wheat,1.0
01.6,,p01.c,Cereal grains nec,1.0
01.6,,p01.d,"Vegetables, fruit, nuts",1.0
01.6,,p01.e,Oil seeds,1.0
01.6,,p01.f,"Sugar cane, sugar beet",1.0
01.6,,p01.g,Plant-based fibers,1.0
01.6,,p01.h,Crops nec,1.0
01.6,,p01.i,Cattle,1.0
01.6,,p01.j,Pigs,1.0
01.6,,p01.k,Poultry,1.0
