source_code,source_name,target_code,target_name,weight
11,"Agriculture, Forestry, Fishing and HuntingT",p01.a,Paddy rice,1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.b,Wheat,1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.c,Cereal grains nec,1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.d,"Vegetables, fruit, nuts",1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.e,Oil seeds,1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.f,"Sugar cane, sugar beet",1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.g,Plant-based fibers,1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.h,Crops nec,1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.i,Cattle,1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.j,Pigs,1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.k,Poultry,1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.l,Meat animals nec,1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.m,Animal products nec,1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.n,Raw milk,1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.o,"Wool, silk-worm cocoons",1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.w.1,Manure (conventional treatment),1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p01.w.2,Manure (biogas treatment),1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p02,"Products of forestry, logging and related services (02)",1.0
11,"Agriculture, Forestry, Fishing and HuntingT",p05,Fish and other fishing products; services incidental of fishing (05),1.0
111,Crop ProductionT,p01.a,Paddy rice,1.0
111,Crop ProductionT,p01.b,Wheat,1.0
111,Crop ProductionT,p01.c,Cereal grains nec,1.0
111,Crop ProductionT,p01.d,"Vegetables, fruit, nuts",1.0
111,Crop ProductionT,p01.e,Oil seeds,1.0
111,Crop ProductionT,p01.f,"Sugar cane, sugar beet",1.0
111,Crop ProductionT,p01.g,Plant-based fibers,1.0
111,Crop ProductionT,p01.h,Crops nec,1.0
1111,Oilseed and Grain FarmingT,p01.a,Paddy rice,1.0
1111,Oilseed and Grain FarmingT,p01.b,Wheat,1.0
1111,Oilseed and Grain FarmingT,p01.c,Cereal grains nec,1.0
